PointID,Original_ID,Human_Class,Scene,Confidence,Notes
101,5786,3,水体,h,WC_Class=2
102,13384,3,水体,m,WC_Class=3
103,9966,2,水田,l,WC_Class=2
104,9398,1,road,m,WC_Class=2
105,57,2,veg,h,WC_Class=1
106,14119,2,水体边缘, m,WC_Class=3
107,7400,1,路面,h,WC_Class=2
108,861,2,veg,h,WC_Class=1
109,9985,2,水田,m,WC_Class=2
110,7379,3,水体,h,WC_Class=2
111,2991,1,road,h,WC_Class=1
112,85,2,veg,h,WC_Class=1
113,14446,1,road,h,WC_Class=3
114,2531,2,veg,m,WC_Class=1
115,12610,3,水体,h,WC_Class=3
116,9014,2,veg,m,WC_Class=2
117,825,3,水体,m,WC_Class=1
118,14458,2,veg,m,WC_Class=3
119,8583,2,土路,h,WC_Class=2
120,5713,3,水体,h,WC_Class=2
121,9256,2,田地,m,WC_Class=2
122,220,2,veg,m,WC_Class=1
123,6693,2,veg,h,WC_Class=2
124,4,2,veg,h,WC_Class=1
125,9739,3,水体,h,WC_Class=2
126,10614,2,veg,h,WC_Class=3
127,14949,3,水田,l,WC_Class=3
128,7443,2,水体边缘,l,WC_Class=2
129,5155,2,荒地,h,WC_Class=2
130,8042,2,田地,h,WC_Class=2
131,9519,2,工地,l,WC_Class=2
132,9536,1,高铁站,h,WC_Class=2
133,8604,2,田地,m,WC_Class=2
134,6645,3,水体,h,WC_Class=2
135,8687,2,工地,l,WC_Class=2
136,9373,2,工地,l,WC_Class=2
137,9932,2,veg,h,WC_Class=2
138,9867,2,空地,h,WC_Class=2
139,9493,1,路面,h,WC_Class=2
140,175,1,水坝,l,WC_Class=1
141,9989,3,水田,l,WC_Class=2
142,8177,2,田地,h,WC_Class=2
143,8198,2,田地,h,WC_Class=2
144,7007,1,road,m,WC_Class=2
145,498,2,veg,h,WC_Class=1
146,11962,3,水体,h,WC_Class=3
147,9187,2,veg,l,WC_Class=2
148,6854,3,水体,m,WC_Class=2
149,8902,2,veg,m,WC_Class=2
150,8622,2,工地,l,WC_Class=2
