Round2ID,Original_ID,lon,lat,Class,RF_Pred,margin,prob_1,prob_2,prob_3,c12_mass,gap12,disagree,Human_Class,Confidence,Scene,VegBuild,Notes
22,4831,118.9012355848809,32.342000258390925,1,1,0.2199999999999999,0.61,0.39,0.0,1.0,0.21999999999999997,0,2,h,road旁边的土地,road,
23,298,118.48351897776531,32.026601762136565,1,1,0.2666666666666666,0.6333333333333333,0.3666666666666666,0.0,0.9999999999999999,0.2666666666666667,0,2,h,veg包围的建筑,veg,
24,8100,118.59257445325744,32.05435970441585,2,2,0.2666666666666666,0.3666666666666666,0.6333333333333333,0.0,0.9999999999999999,0.2666666666666667,0,1,h,学校篮球场,build,
25,6134,118.92360363545546,32.07493112442219,2,2,0.2266666666666666,0.3866666666666666,0.6133333333333333,0.0,0.9999999999999999,0.22666666666666668,0,2,m,荒地,,
26,722,118.85631982067493,31.94314827224186,1,1,0.2533333333333333,0.6266666666666667,0.3733333333333333,0.0,1.0,0.2533333333333334,0,2,h,road旁边的veg,veg,
27,8210,119.12949749857566,31.453386779339898,2,2,0.26,0.37,0.63,0.0,1.0,0.26,0,1,h,临时建筑,,
28,8278,118.72597427294916,32.13350128094679,2,2,0.2699999999999999,0.3633333333333333,0.6333333333333333,0.0033333333333333,0.9966666666666666,0.27,0,1,h,car park,,
29,9046,119.07964100030703,31.615892014237115,2,2,0.2466666666666666,0.3733333333333333,0.62,0.0066666666666666,0.9933333333333333,0.2466666666666667,0,1,h,光伏地面,,
30,8419,119.01002156578777,31.63161253170921,2,2,0.24,0.38,0.62,0.0,1.0,0.24,0,2,h,裸地,,
31,2820,118.80322938738344,32.547085637755416,1,1,0.28,0.64,0.36,0.0,1.0,0.28,0,1,l,建筑和veg混合,,
32,2977,118.78526308170106,31.294205310993917,1,1,0.28,0.64,0.36,0.0,1.0,0.28,0,2,h,空地边缘的小路,,
33,6407,118.8104159096564,31.977643579152048,2,2,0.2833333333333333,0.3566666666666667,0.64,0.0033333333333333,0.9966666666666667,0.2833333333333333,0,1,m,veg中心的地面,,
34,5863,118.86844707701052,31.3564585601834,2,2,0.2199999999999999,0.39,0.61,0.0,1.0,0.21999999999999997,0,2,l,看不清,,
35,1920,118.8321551395321,32.331040811924666,1,1,0.2866666666666666,0.6433333333333333,0.3566666666666667,0.0,1.0,0.2866666666666666,0,2,h,veg,,
36,5620,118.79765983262192,31.82259436111302,2,2,0.2366666666666666,0.3766666666666666,0.6133333333333333,0.01,0.9899999999999999,0.2366666666666667,0,1,h,道路,,
37,2173,118.71824876150576,32.44225224409866,1,1,0.2866666666666666,0.6433333333333333,0.3566666666666667,0.0,1.0,0.2866666666666666,0,2,h,荒地,,
38,9299,118.756247498024,32.16943389231157,2,2,0.2266666666666666,0.3866666666666666,0.6133333333333333,0.0,0.9999999999999999,0.22666666666666668,0,1,h,工厂,,
39,5463,118.87760989290857,31.775522640225155,2,2,0.2866666666666667,0.35,0.6366666666666667,0.0133333333333333,0.9866666666666667,0.28666666666666674,0,2,m,大棚,,
40,8530,118.75130676396134,32.23986181058654,2,2,0.2799999999999999,0.3533333333333333,0.6333333333333333,0.0133333333333333,0.9866666666666666,0.28,0,1,h,大型建筑,,
41,8277,119.07901217960814,31.53881656285966,2,2,0.2733333333333334,0.3633333333333333,0.6366666666666667,0.0,1.0,0.27333333333333343,0,2,h,大棚,,
42,6819,119.01388432150948,31.544475949149614,2,2,0.29,0.3533333333333333,0.6433333333333333,0.0033333333333333,0.9966666666666666,0.29000000000000004,0,2,h,大棚,,
43,2904,118.69785700455624,32.162966022265906,1,1,0.2933333333333333,0.6466666666666666,0.3533333333333333,0.0,0.9999999999999999,0.29333333333333333,0,2,h,veg,,
44,258,118.92099852113152,31.36346541939953,1,1,0.26,0.63,0.37,0.0,1.0,0.26,0,2,h,veg,,
45,4713,118.85308588565208,31.908922459916905,1,1,0.2866666666666666,0.6433333333333333,0.3566666666666667,0.0,1.0,0.2866666666666666,0,2,m,road veg mix,,
46,7780,118.96178203503057,31.75935296511101,2,2,0.28,0.36,0.64,0.0,1.0,0.28,0,2,m,荒地,,
47,5105,118.84095862931648,31.240216562418333,2,2,0.2933333333333333,0.3533333333333333,0.6466666666666666,0.0,0.9999999999999999,0.29333333333333333,0,2,m,孤立建筑边缘,,
48,4915,118.8733878110732,32.09388557691712,1,1,0.2733333333333334,0.6366666666666667,0.3633333333333333,0.0,1.0,0.27333333333333343,0,2,h,veg,,
49,7366,119.02771837688492,32.036393398733466,2,2,0.28,0.36,0.64,0.0,1.0,0.28,0,1,m,小区内部地面,,
50,8918,118.68869418865822,31.74668671960492,2,2,0.2933333333333333,0.35,0.6433333333333333,0.0066666666666666,0.9933333333333333,0.29333333333333333,0,1,m,公路边缘,,
