PointID,Original_ID,Human_Class,Scene,Confidence,Notes
82,4904,2,工地裸地,h,WC_Class=1
83,5194,1,蓝色工厂建筑,h,WC_Class=2
84,5775,1,城市路面,h,WC_Class=2
85,11081,2,水体边缘,h,WC_Class=3
86,3900,2,城市road和树木边缘,m,WC_Class=1
87,7639,3,水体,h,WC_Class=2
88,4058,1,工厂建筑,h,WC_Class=1
89,3830,2,农村土路,h,WC_Class=1
90,9175,2,农村土路,h,WC_Class=2
91,108,2,农村土路,h,WC_Class=1
92,1243,2,road边上的树木,m,WC_Class=1
93,11928,3,公园水体边缘,h,WC_Class=3
94,6424,2,复杂工地,h,WC_Class=2
95,3109,2,城市特殊地物,l,WC_Class=1
96,4898,2,水体旁边的树木,m,WC_Class=1
97,868,1,工厂路面,m,WC_Class=1
98,6192,1,高速路面阴影,l,WC_Class=2
99,3184,1,小区,h,WC_Class=1
100,2929,2,树木,h,WC_Class=1
101,7332,1,树木旁边的房子,m,WC_Class=2
102,4589,1,小区阴影地面,l,WC_Class=1
103,8872,2,树木,m,WC_Class=2
104,1929,2,road旁边的树木,m,WC_Class=1
105,11775,2,水体边缘,m,WC_Class=3
106,981,2,田地,h,WC_Class=1
107,2158,2,水体边缘,l,WC_Class=1
108,8049,1,road,h,WC_Class=2
109,4658,2,树林,h,WC_Class=1
110,3144,2,绿化带,h,WC_Class=1
111,8703,2,水体边缘,m,WC_Class=2
112,6691,2,裸土烂地面,h,WC_Class=2
113,2070,2,农村破房子和林地,m,WC_Class=1
114,4905,1,建筑,h,WC_Class=1
115,1719,2,水体边缘的树木,m,WC_Class=1
116,6074,3,水体边缘,h,WC_Class=2
117,5812,2,农村院子地面,l,WC_Class=2
118,4179,2,树木,h,WC_Class=1
119,14565,3,水体,h,WC_Class=3
120,6389,1,小区路面,l,WC_Class=2
121,10576,2,水体边缘裸露地物,m,WC_Class=3
122,8995,3,浑浊水体边缘,m,WC_Class=2
123,8265,1,光伏电厂地面,h,WC_Class=2
124,10624,2,水体中的裸露地面,l,WC_Class=3
125,9750,1,公路,h,WC_Class=2
126,3429,1,小区,h,WC_Class=1
127,7644,1,小区路面 + 阴影,m,WC_Class=2
128,2051,2,公园路面和 树木,m,WC_Class=1
129,11832,3,水体,h,WC_Class=3
130,5255,1,road 和树木交界,m,WC_Class=2
131,4496,2,农村路面和树木,h,WC_Class=1
132,7007,2,农村地物,h,WC_Class=2
133,2888,1,建筑,h,WC_Class=1
134,1116,2,道路旁边的绿植,h,WC_Class=1
135,9455,2,城市绿植,l,WC_Class=2
136,3449,2,道路旁边的绿植,m,WC_Class=1
137,161,2,城市绿植,h,WC_Class=1
138,13112,1,road,m,WC_Class=3
139,4916,2,农村地面,h,WC_Class=1
140,5166,2,土路,h,WC_Class=2
141,13425,2,水体边缘,m,WC_Class=3
142,888,2,城市绿植,l,WC_Class=1
143,3121,2,水田,l,WC_Class=1
144,1422,2,建筑和林地边缘,m,WC_Class=1
145,4511,1,体育场,h,WC_Class=1
146,6602,2,空地杂草,h,WC_Class=2
147,8628,2,树木,m,WC_Class=2
148,11303,2,水体边缘,m,WC_Class=3
149,9681,2,农村土路,h,WC_Class=2
150,4500,2,绿植和road,m,WC_Class=1
