PointID,Original_ID,lon,lat,Human_Class,Confidence,Scene,Notes,WC_Class,RF_Pred,error_type,margin,prob_1,prob_2,prob_3,NDVI_mean,NDBI_mean,MNDWI_mean
1,541,118.5855675940413,32.2298006794044,1,h,蓝色建筑,WC_Class=1; RF_OOB_Pred=2; C1_to_C2,1,2,C1_to_C2,0.0,0.5,0.5,0.0,0.37323326,0.08747325,-0.39564526
15,4539,118.81517698066224,31.811095925476288,1,m,建筑边缘,WC_Class=1; RF_OOB_Pred=2; C1_to_C2,1,2,C1_to_C2,0.026881720430107503,0.4838709677419355,0.510752688172043,0.005376344086021506,0.4386896,-0.08102154,-0.35116827
16,504,118.7922699409172,32.1065518224232,2,h,veg,WC_Class=1; RF_OOB_Pred=2; C1_to_C2,1,2,C1_to_C2,0.029940119760479056,0.47904191616766467,0.5089820359281437,0.011976047904191617,0.41911656,-0.057395276,-0.30296937
17,839,118.96052439363278,32.08319562503609,2,l,工地,WC_Class=1; RF_OOB_Pred=2; C1_to_C2,1,2,C1_to_C2,0.031088082901554404,0.47150259067357514,0.5025906735751295,0.025906735751295335,0.18097197,0.01169416,-0.24400449
18,219,118.84131795543011,31.89257312174593,1,h,road,WC_Class=1; RF_OOB_Pred=2; C1_to_C2,1,2,C1_to_C2,0.03296703296703296,0.45054945054945056,0.4835164835164835,0.06593406593406594,0.305632,-0.104939416,-0.21138301
19,4237,118.87024370757877,31.997676009987913,1,h,小区,WC_Class=1; RF_OOB_Pred=2; C1_to_C2,1,2,C1_to_C2,0.03448275862068967,0.4827586206896552,0.5172413793103449,0.0,0.46920854,-0.16936202,-0.28444687
20,2007,119.21043570567484,31.369124805689484,2,h,veg,WC_Class=1; RF_OOB_Pred=2; C1_to_C2,1,2,C1_to_C2,0.040462427745664775,0.47398843930635837,0.5144508670520231,0.011560693641618497,0.42872468,-0.059944097,-0.33625373
21,37,118.69947397206764,31.93398545634384,2,h,veg,WC_Class=1; RF_OOB_Pred=2; C1_to_C2,1,2,C1_to_C2,0.04444444444444445,0.4777777777777778,0.5222222222222223,0.0,0.4342095,-0.07265717,-0.37517327
22,721,118.72804039810264,32.066666623808295,1,h,road,WC_Class=1; RF_OOB_Pred=2; C1_to_C2,1,2,C1_to_C2,0.04519774011299438,0.3559322033898305,0.4011299435028249,0.24293785310734464,0.14236161,-0.05868092,-0.09159816
23,1918,118.69794683608464,32.550409404306656,2,l,农村地面,WC_Class=1; RF_OOB_Pred=2; C1_to_C2,1,2,C1_to_C2,0.045685279187817285,0.47715736040609136,0.5228426395939086,0.0,0.40737468,-0.02379371,-0.40146902
24,2944,119.08080881017638,32.035854409562994,1,h,建筑,WC_Class=1; RF_OOB_Pred=2; C1_to_C2,1,2,C1_to_C2,0.04597701149425287,0.3563218390804598,0.40229885057471265,0.2413793103448276,0.17704278,0.16826236,-0.36631063
25,3460,118.91596795554044,32.00261674405057,2,h,veg,WC_Class=1; RF_OOB_Pred=2; C1_to_C2,1,2,C1_to_C2,0.05319148936170209,0.4734042553191489,0.526595744680851,0.0,0.49878272,-0.103433914,-0.4019093
26,2638,119.13830098836004,31.469556454454047,2,m,农村地面,WC_Class=1; RF_OOB_Pred=2; C1_to_C2,1,2,C1_to_C2,0.053763440860215006,0.4731182795698925,0.5268817204301075,0.0,0.30314243,-0.009776245,-0.37267855
27,4980,118.9050983406026,31.319897128119734,2,l,废墟,WC_Class=1; RF_OOB_Pred=2; C1_to_C2,1,2,C1_to_C2,0.053763440860215006,0.4731182795698925,0.5268817204301075,0.0,0.3833675,-0.02822686,-0.37186772
28,3041,118.99106711329284,32.12775206312842,1,h,road,WC_Class=1; RF_OOB_Pred=2; C1_to_C2,1,2,C1_to_C2,0.05913978494623656,0.45698924731182794,0.5161290322580645,0.026881720430107527,0.30119652,-0.01711415,-0.3017354
29,4648,118.95729045860996,32.134040270117254,2,h,veg,WC_Class=1; RF_OOB_Pred=2; C1_to_C2,1,2,C1_to_C2,0.06315789473684208,0.46842105263157896,0.531578947368421,0.0,0.42622766,-0.07768348,-0.3413557
30,1207,118.95962607834866,32.25351620290515,1,h,high way,WC_Class=1; RF_OOB_Pred=2; C1_to_C2,1,2,C1_to_C2,0.0635838150289017,0.4161849710982659,0.4797687861271676,0.10404624277456648,0.22496288,-0.025055634,-0.2024637
31,597,118.85057060285656,32.094783892201235,1,h,high way,WC_Class=1; RF_OOB_Pred=2; C1_to_C2,1,2,C1_to_C2,0.06395348837209303,0.436046511627907,0.5,0.06395348837209303,0.31195834,-0.0586795,-0.27715677
32,3944,118.71681145705116,32.58643184719985,1,h,high way,WC_Class=1; RF_OOB_Pred=2; C1_to_C2,1,2,C1_to_C2,0.06486486486486481,0.4486486486486487,0.5135135135135135,0.03783783783783784,0.29084834,-0.020510588,-0.29589453
33,4372,118.80502601795168,32.28199279741174,2,m,路面,WC_Class=1; RF_OOB_Pred=2; C1_to_C2,1,2,C1_to_C2,0.0650887573964497,0.46153846153846156,0.5266272189349113,0.011834319526627219,0.43476444,-0.10759772,-0.3392244
34,957,118.87886753430632,32.02363732169897,1,m,城市路面,WC_Class=1; RF_OOB_Pred=2; C1_to_C2,1,2,C1_to_C2,0.06629834254143646,0.46408839779005523,0.5303867403314917,0.0055248618784530384,0.17801237,0.06925275,-0.3257912
35,1055,118.39970616175697,31.9366804021962,2,h,veg,WC_Class=1; RF_OOB_Pred=2; C1_to_C2,1,2,C1_to_C2,0.068421052631579,0.4421052631578947,0.5105263157894737,0.04736842105263158,0.43081453,-0.20521085,-0.23723358
36,5512,119.04272024212972,31.37819779005909,2,h,veg,WC_Class=2; RF_OOB_Pred=1; C2_to_C1,2,1,C2_to_C1,0.005076142131979655,0.5025380710659898,0.49746192893401014,0.0,0.3904,-0.045553993,-0.38067752
37,8815,119.08287493532984,31.97414014954398,2,m,veg,WC_Class=2; RF_OOB_Pred=1; C2_to_C1,2,1,C2_to_C1,0.01538461538461533,0.5076923076923077,0.49230769230769234,0.0,0.44545177,-0.071289055,-0.3757611
38,7914,118.85137908661224,31.31226144820472,1,l,孤立建筑,WC_Class=2; RF_OOB_Pred=1; C2_to_C1,2,1,C2_to_C1,0.015463917525773196,0.4639175257731959,0.4484536082474227,0.08762886597938144,0.37214288,-0.1967004,-0.1367279
39,8060,119.03409641540216,31.42140675522524,2,m,veg,WC_Class=2; RF_OOB_Pred=1; C2_to_C1,2,1,C2_to_C1,0.016853932584269704,0.5056179775280899,0.4887640449438202,0.0056179775280898875,0.5154267,-0.1266015,-0.4051652
40,5542,118.76639846073456,32.3380476711408,2,l,水体,WC_Class=2; RF_OOB_Pred=1; C2_to_C1,2,1,C2_to_C1,0.017341040462427737,0.5086705202312138,0.4913294797687861,0.0,0.3455407,-0.020355083,-0.35861537
41,8051,118.66938041004964,31.80561620224316,2,h,veg,WC_Class=2; RF_OOB_Pred=1; C2_to_C1,2,1,C2_to_C1,0.020833333333333315,0.5104166666666666,0.4895833333333333,0.0,0.48900858,-0.111745425,-0.3973228
42,7385,119.10919557315457,31.64176349441976,2,h,土路veg,WC_Class=2; RF_OOB_Pred=1; C2_to_C1,2,1,C2_to_C1,0.0222222222222222,0.5111111111111111,0.4888888888888889,0.0,0.34680375,-0.13251144,-0.2718334
43,8633,118.83628738983906,32.49121042708318,1,l,农村建筑,WC_Class=2; RF_OOB_Pred=1; C2_to_C1,2,1,C2_to_C1,0.023529411764705854,0.5117647058823529,0.48823529411764705,0.0,0.43671447,-0.102130674,-0.380374
44,8934,119.04837962841968,32.08580073936004,2,h,农田,WC_Class=2; RF_OOB_Pred=1; C2_to_C1,2,1,C2_to_C1,0.0267379679144385,0.48128342245989303,0.45454545454545453,0.06417112299465241,0.33595103,-0.12245349,-0.26929
45,7388,118.69219761826628,32.310738886503565,2,l,农村地物,WC_Class=2; RF_OOB_Pred=1; C2_to_C1,2,1,C2_to_C1,0.027472527472527486,0.4835164835164835,0.45604395604395603,0.06043956043956044,0.33580798,-0.17256066,-0.16874564
46,9383,119.1974101340551,31.350619510836623,2,h,农田,WC_Class=2; RF_OOB_Pred=1; C2_to_C1,2,1,C2_to_C1,0.02762430939226518,0.48066298342541436,0.4530386740331492,0.06629834254143646,0.22891411,-0.052536797,-0.1497886
47,6384,118.92701723353512,32.22503960839857,2,h,veg,WC_Class=2; RF_OOB_Pred=1; C2_to_C1,2,1,C2_to_C1,0.028901734104046284,0.5144508670520231,0.48554913294797686,0.0,0.39425853,-0.10105228,-0.3265699
48,6930,118.90087625876724,31.757646166071176,2,h,veg,WC_Class=2; RF_OOB_Pred=1; C2_to_C1,2,1,C2_to_C1,0.030303030303030276,0.5151515151515151,0.48484848484848486,0.0,0.44655624,-0.17189783,-0.3042765
49,5843,118.959266752235,31.679762230938017,3,m,水田,WC_Class=2; RF_OOB_Pred=1; C2_to_C1,2,1,C2_to_C1,0.03804347826086957,0.4076086956521739,0.3695652173913043,0.22282608695652173,0.12442712,0.11915145,-0.13007376
50,8159,118.89997794348312,32.057593639438686,2,h,veg,WC_Class=2; RF_OOB_Pred=1; C2_to_C1,2,1,C2_to_C1,0.03825136612021862,0.5191256830601093,0.4808743169398907,0.0,0.4595113,-0.11748062,-0.36455587
51,9570,119.09814629515988,31.66664682778987,3,l,水体,WC_Class=2; RF_OOB_Pred=1; C2_to_C1,2,1,C2_to_C1,0.04469273743016755,0.4972067039106145,0.45251396648044695,0.05027932960893855,0.42336845,-0.15635908,-0.30264506
52,5046,118.94695983284258,32.23572956027959,3,h,水体,WC_Class=2; RF_OOB_Pred=1; C2_to_C1,2,1,C2_to_C1,0.04838709677419356,0.5161290322580645,0.46774193548387094,0.016129032258064516,0.3304226,-0.072279334,-0.23556903
53,7165,118.61745778662754,31.993723422737787,2,h,veg,WC_Class=2; RF_OOB_Pred=1; C2_to_C1,2,1,C2_to_C1,0.05154639175257736,0.520618556701031,0.4690721649484536,0.010309278350515464,0.44565582,-0.06305941,-0.34533218
54,7589,118.82649575324216,31.89724436122335,2,l,veg,WC_Class=2; RF_OOB_Pred=1; C2_to_C1,2,1,C2_to_C1,0.05319148936170209,0.526595744680851,0.4734042553191489,0.0,0.24711831,-0.0012262041,-0.2844422
55,9584,119.06553745034635,31.881793338336497,3,m,水体边缘,WC_Class=2; RF_OOB_Pred=1; C2_to_C1,2,1,C2_to_C1,0.05325443786982248,0.5207100591715976,0.46745562130177515,0.011834319526627219,0.23481396,0.033282682,-0.26965615
56,6413,118.73684388788702,32.26582312229759,2,m,veg,WC_Class=2; RF_OOB_Pred=1; C2_to_C1,2,1,C2_to_C1,0.05555555555555558,0.5277777777777778,0.4722222222222222,0.0,0.432993,-0.17570047,-0.25023192
57,9916,118.58269298513213,32.03109333855716,2,h,veg,WC_Class=2; RF_OOB_Pred=1; C2_to_C1,2,1,C2_to_C1,0.061855670103092786,0.5309278350515464,0.4690721649484536,0.0,0.36710426,0.021471977,-0.42255262
58,8911,118.6749499648112,32.5357668651755,2,h,veg,WC_Class=2; RF_OOB_Pred=1; C2_to_C1,2,1,C2_to_C1,0.06217616580310881,0.5284974093264249,0.46632124352331605,0.0051813471502590676,0.40330526,-0.12912953,-0.2691671
59,8274,118.95163107232,32.52570573399337,3,h,水体,WC_Class=2; RF_OOB_Pred=1; C2_to_C1,2,1,C2_to_C1,0.0635838150289017,0.5317919075144508,0.4682080924855491,0.0,0.42756817,-0.104698084,-0.3212964
60,7130,119.10524298590444,32.095233049843294,2,h,veg,WC_Class=2; RF_OOB_Pred=1; C2_to_C1,2,1,C2_to_C1,0.06598984771573607,0.5329949238578681,0.467005076142132,0.0,0.40566647,-0.006596365,-0.4125095
61,8255,118.6435987613954,32.191532448300904,2,h,水体边缘,WC_Class=2; RF_OOB_Pred=1; C2_to_C1,2,1,C2_to_C1,0.06666666666666665,0.5333333333333333,0.4666666666666667,0.0,0.32569793,-0.011099119,-0.3613949
62,9904,118.691478966039,31.962282387793604,2,h,veg,WC_Class=2; RF_OOB_Pred=1; C2_to_C1,2,1,C2_to_C1,0.0680628272251309,0.5340314136125655,0.46596858638743455,0.0,0.3749102,-0.029907007,-0.36008236
63,7928,118.5155888334084,32.006030342130224,2,h,veg,WC_Class=2; RF_OOB_Pred=1; C2_to_C1,2,1,C2_to_C1,0.06818181818181818,0.5340909090909091,0.4659090909090909,0.0,0.48538375,-0.14032009,-0.36118892
64,5795,118.6638108552881,32.25109075163803,3,h,水体,WC_Class=2; RF_OOB_Pred=1; C2_to_C1,2,1,C2_to_C1,0.07058823529411762,0.5352941176470588,0.4647058823529412,0.0,0.41830716,-0.05998628,-0.35778576
65,8453,118.9342935873365,31.67006042586952,2,h,裸土,WC_Class=2; RF_OOB_Pred=1; C2_to_C1,2,1,C2_to_C1,0.07407407407407407,0.5246913580246914,0.4506172839506173,0.024691358024691357,0.27227953,0.02249455,-0.35999423
66,8470,119.15950122906526,31.5571421946557,2,h,裸土,WC_Class=2; RF_OOB_Pred=1; C2_to_C1,2,1,C2_to_C1,0.07772020725388606,0.538860103626943,0.46113989637305697,0.0,0.29642865,0.008092476,-0.38109183
67,8759,118.6825856447262,32.07205651551301,1,m,road,WC_Class=2; RF_OOB_Pred=1; C2_to_C1,2,1,C2_to_C1,0.07853403141361254,0.5392670157068062,0.4607329842931937,0.0,0.30663672,0.014251239,-0.34501818
68,9514,119.00786560910588,31.66718581696034,2,l,veg,WC_Class=2; RF_OOB_Pred=1; C2_to_C1,2,1,C2_to_C1,0.07926829268292684,0.5365853658536586,0.4573170731707317,0.006097560975609756,0.3063974,-0.034218185,-0.31745738
69,6589,118.67530929092484,31.848106515182018,2,h,工地,WC_Class=2; RF_OOB_Pred=1; C2_to_C1,2,1,C2_to_C1,0.08205128205128204,0.5384615384615384,0.4564102564102564,0.005128205128205128,0.43079063,-0.08282089,-0.3838797
70,5191,118.9192917220917,31.824660486266495,3,h,水体,WC_Class=2; RF_OOB_Pred=1; C2_to_C1,2,1,C2_to_C1,0.08235294117647063,0.5235294117647059,0.4411764705882353,0.03529411764705882,0.32363084,-0.030078055,-0.23573121
71,9459,119.14737397272964,31.55983714050806,2,m,水田,WC_Class=2; RF_OOB_Pred=1; C2_to_C1,2,1,C2_to_C1,0.08474576271186446,0.536723163841808,0.4519774011299435,0.011299435028248588,0.2656423,-0.030542556,-0.28482082
72,5829,118.80233107209934,32.51860904324882,2,h,veg,WC_Class=2; RF_OOB_Pred=1; C2_to_C1,2,1,C2_to_C1,0.08602150537634407,0.543010752688172,0.45698924731182794,0.0,0.38912708,-0.05747626,-0.37628073
73,7615,118.88910832854528,32.27606391653655,2,h,田地,WC_Class=2; RF_OOB_Pred=1; C2_to_C1,2,1,C2_to_C1,0.08720930232558138,0.5406976744186046,0.45348837209302323,0.005813953488372093,0.362325,-0.019824296,-0.36568272
74,7025,118.73657439330178,32.60367950065494,3,h,水体,WC_Class=2; RF_OOB_Pred=1; C2_to_C1,2,1,C2_to_C1,0.08771929824561409,0.5321637426900585,0.4444444444444444,0.023391812865497075,0.3541657,-0.0950593,-0.29312
75,8298,118.85380453787938,32.32277631131077,2,h,veg,WC_Class=2; RF_OOB_Pred=1; C2_to_C1,2,1,C2_to_C1,0.08791208791208788,0.5439560439560439,0.45604395604395603,0.0,0.32415468,-0.011359862,-0.35455823
76,6057,118.78616139698518,31.313878415716133,3,l,水田,WC_Class=2; RF_OOB_Pred=1; C2_to_C1,2,1,C2_to_C1,0.08839779005524862,0.5193370165745856,0.430939226519337,0.049723756906077346,0.28700903,-0.100587495,-0.14498727
77,6221,118.41704364674048,31.93129051049148,2,l,田地,WC_Class=2; RF_OOB_Pred=1; C2_to_C1,2,1,C2_to_C1,0.08955223880597013,0.5422885572139303,0.4527363184079602,0.004975124378109453,0.3688775,-0.07038403,-0.33694434
78,6761,118.71285886980102,32.4853713777364,2,h,裸地,WC_Class=2; RF_OOB_Pred=1; C2_to_C1,2,1,C2_to_C1,0.0918367346938776,0.5408163265306123,0.4489795918367347,0.01020408163265306,0.27272588,-0.032634508,-0.2850181
79,5768,119.0516135634425,31.51734682756921,2,m,水体边缘,WC_Class=2; RF_OOB_Pred=1; C2_to_C1,2,1,C2_to_C1,0.09392265193370158,0.5414364640883977,0.44751381215469616,0.011049723756906077,0.35085347,-0.05740664,-0.33155775
80,8024,118.83458059079922,32.36014622713014,2,l,工地,WC_Class=2; RF_OOB_Pred=1; C2_to_C1,2,1,C2_to_C1,0.09523809523809529,0.5476190476190477,0.4523809523809524,0.0,0.42107147,-0.10029693,-0.37933904
81,6338,118.93725802777408,32.2478568166152,2,m,裸土,WC_Class=2; RF_OOB_Pred=1; C2_to_C1,2,1,C2_to_C1,0.0957446808510638,0.526595744680851,0.4308510638297872,0.0425531914893617,0.32625297,-0.13212465,-0.20634511
82,8848,118.83467042232763,31.762047910963364,2,h,田地,WC_Class=2; RF_OOB_Pred=1; C2_to_C1,2,1,C2_to_C1,0.09604519774011294,0.5480225988700564,0.4519774011299435,0.0,0.39043796,-0.07103836,-0.36150253
83,8406,118.8900964753578,31.348912711796796,3,h,水体,WC_Class=2; RF_OOB_Pred=1; C2_to_C1,2,1,C2_to_C1,0.09844559585492224,0.5492227979274611,0.45077720207253885,0.0,0.53467834,-0.18066636,-0.31537628
84,8473,119.06868155384078,32.190634133016786,2,h,裸土,WC_Class=2; RF_OOB_Pred=1; C2_to_C1,2,1,C2_to_C1,0.09876543209876543,0.5493827160493827,0.4506172839506173,0.0,0.3208308,0.009116491,-0.3956154
85,5960,118.87257932731748,32.280465661428735,2,h,裸土,WC_Class=2; RF_OOB_Pred=1; C2_to_C1,2,1,C2_to_C1,0.10000000000000003,0.55,0.45,0.0,0.37322176,-0.0734633,-0.33231515
86,5803,118.47929689592996,31.937039728309845,1,h,体育场,WC_Class=2; RF_OOB_Pred=1; C2_to_C1,2,1,C2_to_C1,0.103960396039604,0.5495049504950495,0.44554455445544555,0.0049504950495049506,0.16218388,-0.031416614,-0.2541842
87,8143,118.61979340636624,31.99776584151633,2,h,veg,WC_Class=2; RF_OOB_Pred=1; C2_to_C1,2,1,C2_to_C1,0.10497237569060774,0.5524861878453039,0.44751381215469616,0.0,0.32997438,0.013835431,-0.33791995
88,8464,119.03706085583975,32.14760483090746,2,h,veg,WC_Class=2; RF_OOB_Pred=1; C2_to_C1,2,1,C2_to_C1,0.10674157303370785,0.5449438202247191,0.43820224719101125,0.016853932584269662,0.47993845,-0.22476175,-0.26571354
89,6426,118.75966109610366,32.147694662435875,2,h,veg,WC_Class=2; RF_OOB_Pred=1; C2_to_C1,2,1,C2_to_C1,0.11299435028248589,0.5536723163841808,0.4406779661016949,0.005649717514124294,0.41155308,-0.04446017,-0.314433
90,7061,119.0380490026523,31.307949534840944,2,h,veg,WC_Class=2; RF_OOB_Pred=1; C2_to_C1,2,1,C2_to_C1,0.1157894736842105,0.5578947368421052,0.4421052631578947,0.0,0.5340384,-0.01616119,-0.47729722
91,7143,118.96950754647398,32.46677625135513,2,h,veg,WC_Class=2; RF_OOB_Pred=1; C2_to_C1,2,1,C2_to_C1,0.11827956989247307,0.5268817204301075,0.40860215053763443,0.06451612903225806,0.38791838,-0.08355515,-0.33792722
92,6063,119.032748942476,31.89580705676876,2,l,水田,WC_Class=2; RF_OOB_Pred=1; C2_to_C1,2,1,C2_to_C1,0.12380952380952381,0.5285714285714286,0.40476190476190477,0.06666666666666667,0.33301935,-0.20643845,-0.13675101
93,8514,119.09769713751784,32.21165471066519,2,h,土路,WC_Class=2; RF_OOB_Pred=1; C2_to_C1,2,1,C2_to_C1,0.12432432432432433,0.5621621621621622,0.43783783783783786,0.0,0.24571513,0.0005060261,-0.29310253
94,5699,118.64126314165672,31.782439667912875,2,l,农村建筑,WC_Class=2; RF_OOB_Pred=1; C2_to_C1,2,1,C2_to_C1,0.1256830601092896,0.5628415300546448,0.4371584699453552,0.0,0.47117284,-0.17706142,-0.31596884
95,5012,119.18339641562284,32.21560729791531,2,h,veg,WC_Class=2; RF_OOB_Pred=1; C2_to_C1,2,1,C2_to_C1,0.12765957446808507,0.5638297872340425,0.43617021276595747,0.0,0.3719068,-0.013443568,-0.3799759
96,5725,118.90159491099456,31.65164496254507,1,h,城市地面,WC_Class=2; RF_OOB_Pred=1; C2_to_C1,2,1,C2_to_C1,0.12765957446808507,0.5638297872340425,0.43617021276595747,0.0,0.22404584,0.0033448928,-0.30379322
97,9035,118.91201536829033,31.552740449763515,3,m,水体,WC_Class=2; RF_OOB_Pred=1; C2_to_C1,2,1,C2_to_C1,0.12834224598930483,0.49732620320855614,0.3689839572192513,0.13368983957219252,0.30589342,-0.083519466,-0.17208968
98,8359,118.9712143455138,31.985369090595476,2,h,工地,WC_Class=2; RF_OOB_Pred=1; C2_to_C1,2,1,C2_to_C1,0.12994350282485878,0.5649717514124294,0.4350282485875706,0.0,0.33157876,0.073176265,-0.45327136
99,8068,118.61251705256488,31.990758982300193,2,h,veg,WC_Class=2; RF_OOB_Pred=1; C2_to_C1,2,1,C2_to_C1,0.13142857142857145,0.5657142857142857,0.4342857142857143,0.0,0.34235564,-0.030775756,-0.3441097
100,9072,118.90105592182408,32.215876792500545,2,m,veg,WC_Class=2; RF_OOB_Pred=1; C2_to_C1,2,1,C2_to_C1,0.13227513227513232,0.5661375661375662,0.43386243386243384,0.0,0.46602106,-0.14265567,-0.35559338
101,9412,118.9005169326536,31.741476490957027,2,m,土路,WC_Class=2; RF_OOB_Pred=1; C2_to_C1,2,1,C2_to_C1,0.13661202185792348,0.5683060109289617,0.43169398907103823,0.0,0.35429025,0.023232106,-0.4026462
102,7433,118.9434564032345,31.273454227930756,2,m,土路,WC_Class=2; RF_OOB_Pred=1; C2_to_C1,2,1,C2_to_C1,0.140625,0.5625,0.421875,0.015625,0.36861426,-0.076921,-0.31174976
103,6995,119.01801657181645,31.8728101854953,2,m,水边,WC_Class=2; RF_OOB_Pred=1; C2_to_C1,2,1,C2_to_C1,0.14204545454545459,0.5681818181818182,0.42613636363636365,0.005681818181818182,0.3993251,-0.0876391,-0.34105834
104,6041,118.67863305747608,32.480969632844214,2,l,土路,WC_Class=2; RF_OOB_Pred=1; C2_to_C1,2,1,C2_to_C1,0.14432989690721648,0.5618556701030928,0.4175257731958763,0.020618556701030927,0.33148992,-0.086609945,-0.25356698
105,7307,118.8328737917594,32.05894111236486,2,h,田地,WC_Class=2; RF_OOB_Pred=1; C2_to_C1,2,1,C2_to_C1,0.14583333333333331,0.5729166666666666,0.4270833333333333,0.0,0.48178175,-0.074347794,-0.41118762
106,7957,118.85739779901586,31.31558521475596,2,m,水田,WC_Class=2; RF_OOB_Pred=3; C2_to_C3,2,3,C2_to_C3,0.0,0.39226519337016574,0.2154696132596685,0.39226519337016574,0.16284578,-0.15813784,0.009996464
107,8775,118.73801169775638,31.858077814835735,3,h,水体,WC_Class=2; RF_OOB_Pred=3; C2_to_C3,2,3,C2_to_C3,0.0,0.0,0.5,0.5,0.10651684,-0.028009232,0.024990672
108,5554,118.82056687236695,31.34504995607508,2,m,水田,WC_Class=2; RF_OOB_Pred=3; C2_to_C3,2,3,C2_to_C3,0.02352941176470591,0.18823529411764706,0.3941176470588235,0.4176470588235294,0.1948735,-0.1350877,-0.050551455
109,7961,118.71600297329545,31.867150799205348,3,h,水田,WC_Class=2; RF_OOB_Pred=3; C2_to_C3,2,3,C2_to_C3,0.024390243902439046,0.0,0.4878048780487805,0.5121951219512195,0.13924232,-0.08031063,0.044326924
110,7907,118.93923432139916,31.431737380992615,2,m,田地,WC_Class=2; RF_OOB_Pred=3; C2_to_C3,2,3,C2_to_C3,0.02487562189054726,0.24875621890547264,0.36318407960199006,0.3880597014925373,0.15457171,0.007889809,-0.18208711
111,9517,119.14602649980348,31.70769983627413,3,h,水体,WC_Class=2; RF_OOB_Pred=3; C2_to_C3,2,3,C2_to_C3,0.02747252747252743,0.13736263736263737,0.4175824175824176,0.44505494505494503,0.24796811,-0.039638452,-0.07591532
112,7975,118.73037601784137,31.344510966904608,2,h,田地,WC_Class=2; RF_OOB_Pred=3; C2_to_C3,2,3,C2_to_C3,0.028248587570621486,0.3502824858757062,0.2711864406779661,0.3785310734463277,0.10690256,-0.08876648,-0.03833265
