PointID,Original_ID,Human_Class,Scene,Confidence,Notes
139,7364,2,rs,m,"WC_Class=2; scene added 2026-09-08 from imagery (was blank-scene WC placeholder)"
140,9545,2,veg,m,"WC_Class=2; scene added 2026-09-08 from imagery (was blank-scene WC placeholder)"
141,7616,2,we,m,WC_Class=2
142,14104,2,re,m,WC_Class=3
143,5322,2,ub,m,WC_Class=2
144,3185,1,bl,m,WC_Class=1
145,7418,2,bl,m,WC_Class=2
146,7599,2,veg,m,"WC_Class=2; scene added 2026-09-08 from imagery (was blank-scene WC placeholder)"
147,8946,2,bl,m,"WC_Class=2; scene added 2026-09-08 from imagery (was blank-scene WC placeholder)"
148,5656,3,wr,m,"WC_Class=2; re-annotated 2026-09-08 from imagery (was blank-scene WC placeholder, Human_Class=2)"
149,13160,2,we,m,"WC_Class=3; re-annotated 2026-09-08 from imagery (was blank-scene WC placeholder, Human_Class=3)"
150,7619,3,wr,m,"WC_Class=2; re-annotated 2026-09-08 from imagery (was blank-scene WC placeholder, Human_Class=2)"
