City,PointID,Original_ID,Human_Class,WC_Class,Scene_raw,Scene_group,Disagree,Confidence
Wuhan,82,13903,3,3,we,Water / water edge,0,m
Wuhan,83,865,2,1,ub,Urban green space,1,h
Wuhan,84,6614,2,2,ub,Urban green space,0,m
Wuhan,85,9548,2,2,re,Road / road edge,0,m
Wuhan,86,2602,2,1,mx,Mixed / complex,1,h
Wuhan,87,6224,2,2,fe,Vegetation / forest edge,0,m
Wuhan,88,6076,2,2,mx,Mixed / complex,0,m
Wuhan,89,1793,2,1,re,Road / road edge,1,h
Wuhan,90,11166,3,3,we,Water / water edge,0,m
Wuhan,91,7768,2,2,sb,Built-up edge / urban fabric,0,m
Wuhan,92,442,1,1,bs,Soft boundary / shadow,0,m
Wuhan,93,3595,1,1,be,Built-up edge / urban fabric,0,m
Wuhan,94,3828,2,1,ub,Urban green space,1,h
Wuhan,95,194,2,1,sb,Built-up edge / urban fabric,1,h
Wuhan,96,2183,1,1,be,Built-up edge / urban fabric,0,m
Wuhan,97,7451,2,2,re,Road / road edge,0,m
Wuhan,98,12076,3,3,we,Water / water edge,0,m
Wuhan,99,3950,2,1,ub,Urban green space,1,h
Wuhan,100,11211,3,3,pf,Paddy / cropland / field,0,m
Wuhan,101,8213,1,2,sb,Built-up edge / urban fabric,1,h
Wuhan,102,6621,1,2,be,Built-up edge / urban fabric,1,h
Wuhan,103,236,2,1,re,Road / road edge,1,h
Wuhan,104,5045,2,2,re,Road / road edge,0,m
Wuhan,105,11100,3,3,we,Water / water edge,0,m
Wuhan,106,7271,1,2,be,Built-up edge / urban fabric,1,h
Wuhan,107,7119,1,2,re,Road / road edge,1,h
Wuhan,108,1326,2,1,fe,Vegetation / forest edge,1,h
Wuhan,109,6347,2,2,re,Road / road edge,0,m
Wuhan,110,13501,3,3,we,Water / water edge,0,m
Wuhan,111,1627,2,1,ub,Urban green space,1,h
Wuhan,112,378,1,1,be,Built-up edge / urban fabric,0,m
Wuhan,113,4440,1,1,be,Built-up edge / urban fabric,0,m
Wuhan,114,2208,2,1,re,Road / road edge,1,h
Wuhan,115,4374,2,1,re,Road / road edge,1,h
Wuhan,116,7214,1,2,be,Built-up edge / urban fabric,1,h
Wuhan,117,9225,1,2,be,Built-up edge / urban fabric,1,h
Wuhan,118,7484,2,2,re,Road / road edge,0,m
Wuhan,119,5907,1,2,br,Built-up edge / urban fabric,1,h
Wuhan,120,11768,2,3,wl,Water / water edge,1,m
Wuhan,121,13807,3,3,we,Water / water edge,0,m
Wuhan,122,7793,1,2,sb,Built-up edge / urban fabric,1,h
Wuhan,123,8123,1,2,spuare,Other / misc,1,h
Wuhan,124,4607,2,1,ub,Urban green space,1,h
Wuhan,125,6580,1,2,be,Built-up edge / urban fabric,1,h
Wuhan,126,7877,2,2,bl,Bare land / construction,0,m
Wuhan,127,1158,2,1,re,Road / road edge,1,h
Wuhan,128,8387,1,2,be,Built-up edge / urban fabric,1,h
Wuhan,129,4399,2,1,re,Road / road edge,1,h
Wuhan,130,11931,3,3,we,Water / water edge,0,m
Wuhan,131,6266,2,2,re,Road / road edge,0,m
Wuhan,132,1032,2,1,re,Road / road edge,1,h
Wuhan,133,3152,2,1,re,Road / road edge,1,h
Wuhan,134,5609,2,2,ct,Cropland / paddy transition,0,m
Wuhan,135,4119,2,1,ct,Cropland / paddy transition,1,h
Wuhan,136,7264,1,2,be,Built-up edge / urban fabric,1,h
Wuhan,137,5221,2,2,re,Road / road edge,0,m
Wuhan,138,13415,2,3,we,Water / water edge,1,m
Wuhan,139,356,2,1,fe,Vegetation / forest edge,1,h
Wuhan,140,1228,1,1,ub,Urban green space,0,m
Wuhan,141,8164,2,2,fe,Vegetation / forest edge,0,m
Wuhan,142,6480,1,2,sb,Built-up edge / urban fabric,1,h
Wuhan,143,11377,2,3,re,Road / road edge,1,m
Wuhan,144,12890,2,3,we,Water / water edge,1,m
Wuhan,145,5182,2,2,sb,Built-up edge / urban fabric,0,m
Wuhan,146,7368,2,2,fe,Vegetation / forest edge,0,m
Wuhan,147,8289,2,2,re,Road / road edge,0,m
Wuhan,148,2742,2,1,ub,Urban green space,1,h
Wuhan,149,9555,2,2,mx,Mixed / complex,0,m
Wuhan,150,6997,1,2,be,Built-up edge / urban fabric,1,h
Changsha,1,9358,2,2,bl,Bare land / construction,0,m
Changsha,2,7015,1,2,be,Built-up edge / urban fabric,1,h
Changsha,3,8825,1,2,be,Built-up edge / urban fabric,1,h
Changsha,4,6953,1,2,be,Built-up edge / urban fabric,1,h
Changsha,5,8352,2,2,bl,Bare land / construction,0,m
Changsha,6,12379,2,3,we,Water / water edge,1,m
Changsha,7,7845,3,2,tw,Water / water edge,1,m
Changsha,8,5675,1,2,be,Built-up edge / urban fabric,1,h
Changsha,9,2399,1,1,be,Built-up edge / urban fabric,0,m
Changsha,10,4129,2,1,ub,Urban green space,1,h
Changsha,11,9399,2,2,fe,Vegetation / forest edge,0,m
Changsha,12,13669,2,3,we,Water / water edge,1,m
Changsha,13,7646,2,2,sb,Built-up edge / urban fabric,0,m
Changsha,14,7754,2,2,ub,Urban green space,0,m
Changsha,15,6066,2,2,we,Water / water edge,0,m
Changsha,16,7204,2,2,ub,Urban green space,0,m
Changsha,17,2217,2,1,ub,Urban green space,1,h
Changsha,18,6490,3,2,we,Water / water edge,1,m
Changsha,19,7958,2,2,re,Road / road edge,0,m
Changsha,20,10962,2,3,we,Water / water edge,1,m
Changsha,21,13421,3,3,we,Water / water edge,0,m
Changsha,22,1975,2,1,mx,Mixed / complex,1,h
Changsha,23,9697,1,2,be,Built-up edge / urban fabric,1,h
Changsha,24,8854,2,2,fe,Vegetation / forest edge,0,m
Changsha,25,464,2,1,ub,Urban green space,1,h
Changsha,26,5561,2,2,fe,Vegetation / forest edge,0,m
Changsha,27,8414,2,2,mx,Mixed / complex,0,m
Changsha,28,4050,1,1,be,Built-up edge / urban fabric,0,m
Changsha,29,5441,2,2,fe,Vegetation / forest edge,0,m
Changsha,30,9532,2,2,fe,Vegetation / forest edge,0,m
Changsha,31,6003,2,2,ub,Urban green space,0,m
Changsha,32,6236,3,2,tw,Water / water edge,1,m
Changsha,33,5268,1,2,be,Built-up edge / urban fabric,1,h
Changsha,34,9493,2,2,mx,Mixed / complex,0,m
Changsha,35,2540,2,1,ub,Urban green space,1,h
Changsha,36,3273,2,1,fe,Vegetation / forest edge,1,h
Changsha,37,9938,2,2,mx,Mixed / complex,0,m
Changsha,38,5080,2,2,fe,Vegetation / forest edge,0,m
Changsha,39,4047,2,1,fe,Vegetation / forest edge,1,h
Changsha,40,7153,2,2,fe,Vegetation / forest edge,0,m
Changsha,41,11906,3,3,we,Water / water edge,0,m
Changsha,42,1926,2,1,fe,Vegetation / forest edge,1,h
Changsha,43,11141,2,3,we,Water / water edge,1,m
Changsha,44,1452,2,1,fe,Vegetation / forest edge,1,h
Changsha,45,1537,2,1,bl,Bare land / construction,1,h
Changsha,46,5654,1,2,be,Built-up edge / urban fabric,1,h
Changsha,47,8050,2,2,fe,Vegetation / forest edge,0,m
Changsha,48,10234,3,3,we,Water / water edge,0,m
Changsha,49,5127,3,2,we,Water / water edge,1,m
Changsha,50,7719,2,2,mx,Mixed / complex,0,m
Changsha,51,7241,2,2,bl,Bare land / construction,0,m
Changsha,52,6705,2,2,bl,Bare land / construction,0,m
Changsha,53,10171,3,3,tw,Water / water edge,0,m
Changsha,54,4048,2,1,re,Road / road edge,1,h
Changsha,55,282,2,1,ub,Urban green space,1,h
Changsha,56,9893,1,2,be,Built-up edge / urban fabric,1,h
Changsha,57,6515,3,2,we,Water / water edge,1,m
Changsha,58,7626,2,2,fe,Vegetation / forest edge,0,m
Changsha,59,10360,2,3,fe,Vegetation / forest edge,1,m
Changsha,60,9661,2,2,fe,Vegetation / forest edge,0,m
Changsha,61,1013,2,1,ub,Urban green space,1,h
Changsha,62,6178,2,2,mx,Mixed / complex,0,m
Changsha,63,13792,3,3,we,Water / water edge,0,m
Changsha,64,12454,3,3,tw,Water / water edge,0,m
Changsha,65,2504,2,1,re,Road / road edge,1,h
Changsha,66,6407,1,2,be,Built-up edge / urban fabric,1,h
Changsha,67,5804,2,2,fe,Vegetation / forest edge,0,m
Changsha,68,8239,2,2,fe,Vegetation / forest edge,0,m
Changsha,69,737,2,1,re,Road / road edge,1,h
Changsha,70,5000,2,2,mx,Mixed / complex,0,m
Changsha,71,4271,2,1,ub,Urban green space,1,h
Changsha,72,1335,2,1,re,Road / road edge,1,h
Changsha,73,34,2,1,fe,Vegetation / forest edge,1,h
Changsha,74,3487,2,1,ub,Urban green space,1,h
Changsha,75,7355,2,2,mx,Mixed / complex,0,m
Changsha,76,4053,2,1,re,Road / road edge,1,h
Changsha,77,9271,1,2,be,Built-up edge / urban fabric,1,h
Changsha,78,10273,2,3,we,Water / water edge,1,m
Changsha,79,4401,2,1,fe,Vegetation / forest edge,1,h
Changsha,80,1254,1,1,be,Built-up edge / urban fabric,0,m
Changsha,81,4370,1,1,be,Built-up edge / urban fabric,0,m
Changsha,82,6997,2,2,mx,Mixed / complex,0,m
Changsha,83,9408,2,2,mx,Mixed / complex,0,m
Changsha,84,1743,3,1,we,Water / water edge,1,m
Changsha,85,3382,2,1,fe,Vegetation / forest edge,1,h
Changsha,86,10976,3,3,we,Water / water edge,0,m
Changsha,87,9321,1,2,be,Built-up edge / urban fabric,1,h
Changsha,88,6932,2,2,ub,Urban green space,0,m
Changsha,89,5774,3,2,we,Water / water edge,1,m
Changsha,90,901,2,1,sb,Built-up edge / urban fabric,1,h
Changsha,91,6934,2,2,road,Road / road edge,0,m
Changsha,92,9579,2,2,fe,Vegetation / forest edge,0,m
Changsha,93,12868,2,3,we,Water / water edge,1,m
Changsha,94,8258,2,2,bl,Bare land / construction,0,m
Changsha,95,6223,2,2,fe,Vegetation / forest edge,0,m
Changsha,96,7827,2,2,fe,Vegetation / forest edge,0,m
Changsha,97,9432,2,2,fe,Vegetation / forest edge,0,m
Changsha,98,2609,2,1,fe,Vegetation / forest edge,1,h
Changsha,99,14914,2,3,bridge,Built-up edge / urban fabric,1,m
Changsha,100,12286,2,3,we,Water / water edge,1,m
Changsha,101,13352,2,3,we,Water / water edge,1,m
Changsha,102,5889,2,2,re,Road / road edge,0,m
Changsha,103,5768,2,2,bl,Bare land / construction,0,m
Changsha,104,6204,2,2,bl,Bare land / construction,0,m
Changsha,105,8426,1,2,be,Built-up edge / urban fabric,1,h
Changsha,106,5216,2,2,fe,Vegetation / forest edge,0,m
Changsha,107,5225,3,2,tw,Water / water edge,1,m
Changsha,108,9574,2,2,fe,Vegetation / forest edge,0,m
Changsha,109,8708,3,2,we,Water / water edge,1,m
Changsha,110,5852,3,2,we,Water / water edge,1,m
Changsha,111,2357,2,1,re,Road / road edge,1,h
Changsha,112,393,2,1,fe,Vegetation / forest edge,1,h
Changsha,113,6907,3,2,tw,Water / water edge,1,m
Changsha,114,1475,2,1,fe,Vegetation / forest edge,1,h
Changsha,115,5365,2,2,re,Road / road edge,0,m
Changsha,116,3806,2,1,re,Road / road edge,1,h
Changsha,117,6599,2,2,ct,Cropland / paddy transition,0,m
Changsha,118,2658,2,1,ub,Urban green space,1,h
Changsha,119,1831,2,1,ub,Urban green space,1,h
Changsha,120,6177,3,2,tw,Water / water edge,1,m
Changsha,121,10994,3,3,tw,Water / water edge,0,m
Changsha,122,7871,2,2,we,Water / water edge,0,m
Changsha,123,7469,3,2,tw,Water / water edge,1,m
Changsha,124,4886,1,1,be,Built-up edge / urban fabric,0,m
Changsha,125,1346,2,1,re,Road / road edge,1,h
Changsha,126,10031,2,3,we,Water / water edge,1,m
Changsha,127,3354,2,1,ub,Urban green space,1,h
Changsha,128,853,2,1,fe,Vegetation / forest edge,1,h
Changsha,129,48,2,1,mx,Mixed / complex,1,h
Changsha,130,5978,2,2,mx,Mixed / complex,0,m
Changsha,131,4826,2,1,mx,Mixed / complex,1,h
Changsha,132,108,2,1,fe,Vegetation / forest edge,1,h
Changsha,133,14590,3,3,we,Water / water edge,0,m
Changsha,134,7514,2,2,bs,Soft boundary / shadow,0,m
Changsha,135,8812,2,2,fe,Vegetation / forest edge,0,m
Changsha,136,1212,3,1,tw,Water / water edge,1,m
Changsha,137,12456,2,3,bridge,Built-up edge / urban fabric,1,m
Changsha,138,5393,2,2,we,Water / water edge,0,m
Changsha,139,3068,2,1,fe,Vegetation / forest edge,1,h
Changsha,140,13673,2,3,we,Water / water edge,1,m
Changsha,141,9368,2,2,fe,Vegetation / forest edge,0,m
Changsha,142,6642,2,2,bl,Bare land / construction,0,m
Changsha,143,3106,1,1,be,Built-up edge / urban fabric,0,m
Changsha,144,8589,2,2,bl,Bare land / construction,0,m
Changsha,145,9373,3,2,we,Water / water edge,1,m
Changsha,146,13875,3,3,tw,Water / water edge,0,m
Changsha,147,3156,1,1,sb,Built-up edge / urban fabric,0,m
Changsha,148,309,2,1,re,Road / road edge,1,h
Changsha,149,5410,2,2,sb,Built-up edge / urban fabric,0,m
Changsha,150,6618,1,2,be,Built-up edge / urban fabric,1,h
Nanchang,1,5321,1,2,be,Built-up edge / urban fabric,1,h
Nanchang,2,7389,1,2,be,Built-up edge / urban fabric,1,h
Nanchang,3,3495,1,1,be,Built-up edge / urban fabric,0,m
Nanchang,4,7813,1,2,be,Built-up edge / urban fabric,1,h
Nanchang,5,8776,2,2,fe,Vegetation / forest edge,0,m
Nanchang,6,8547,1,2,be,Built-up edge / urban fabric,1,h
Nanchang,7,3625,2,1,ct,Cropland / paddy transition,1,h
Nanchang,8,9818,2,2,we,Water / water edge,0,m
Nanchang,9,8320,3,2,sb,Built-up edge / urban fabric,1,m
Nanchang,10,6723,1,2,sb,Built-up edge / urban fabric,1,h
Nanchang,11,14189,3,3,we,Water / water edge,0,m
Nanchang,12,6414,2,2,re,Road / road edge,0,m
Nanchang,13,7466,3,2,we,Water / water edge,1,m
Nanchang,14,6441,2,2,re,Road / road edge,0,m
Nanchang,15,2535,2,1,we,Water / water edge,1,h
Nanchang,16,5164,2,2,bl,Bare land / construction,0,m
Nanchang,17,12250,2,3,bl,Bare land / construction,1,m
Nanchang,18,7016,1,2,be,Built-up edge / urban fabric,1,h
Nanchang,19,5178,1,2,be,Built-up edge / urban fabric,1,h
Nanchang,20,9197,2,2,fe,Vegetation / forest edge,0,m
Nanchang,21,7434,2,2,re,Road / road edge,0,m
Nanchang,22,10643,2,3,re,Road / road edge,1,m
Nanchang,23,9094,2,2,cs,Bare land / construction,0,m
Nanchang,24,9375,1,2,re,Road / road edge,1,h
Nanchang,25,951,2,1,rs,Rural settlement / surfaces,1,h
Nanchang,26,13675,3,3,we,Water / water edge,0,m
Nanchang,27,9005,2,2,bl,Bare land / construction,0,m
Nanchang,28,8912,3,2,we,Water / water edge,1,m
Nanchang,29,8289,2,2,bl,Bare land / construction,0,m
Nanchang,30,12604,2,3,bl,Bare land / construction,1,m
Nanchang,31,7058,2,2,re,Road / road edge,0,m
Nanchang,32,8472,2,2,sb,Built-up edge / urban fabric,0,m
Nanchang,33,8252,1,2,be,Built-up edge / urban fabric,1,h
Nanchang,34,5201,2,2,bl,Bare land / construction,0,m
Nanchang,35,7099,1,2,sb,Built-up edge / urban fabric,1,h
Nanchang,36,1412,2,1,sb,Built-up edge / urban fabric,1,h
Nanchang,37,5629,2,2,mx,Mixed / complex,0,m
Nanchang,38,3382,2,1,ub,Urban green space,1,h
Nanchang,39,9377,2,2,re,Road / road edge,0,m
Nanchang,40,9968,2,2,re,Road / road edge,0,m
Nanchang,41,4916,2,1,re,Road / road edge,1,h
Nanchang,42,8938,1,2,be,Built-up edge / urban fabric,1,h
Nanchang,43,11865,3,3,we,Water / water edge,0,m
Nanchang,44,8043,2,2,sb,Built-up edge / urban fabric,0,m
Nanchang,45,12460,3,3,we,Water / water edge,0,m
Nanchang,46,5664,2,2,bl,Bare land / construction,0,m
Nanchang,47,5472,2,2,bl,Bare land / construction,0,m
Nanchang,48,14541,2,3,bl,Bare land / construction,1,m
Nanchang,49,7124,3,2,we,Water / water edge,1,m
Nanchang,50,9217,2,2,bl,Bare land / construction,0,m
Nanchang,51,9726,2,2,we,Water / water edge,0,m
Nanchang,52,6224,1,2,sb,Built-up edge / urban fabric,1,h
Nanchang,53,11133,3,3,tw,Water / water edge,0,m
Nanchang,54,5432,1,2,sb,Built-up edge / urban fabric,1,h
Nanchang,55,5166,1,2,urban road,Road / road edge,1,h
Nanchang,56,7669,3,2,we,Water / water edge,1,m
Nanchang,57,3030,2,1,ub,Urban green space,1,h
Nanchang,58,7320,1,2,be,Built-up edge / urban fabric,1,h
Nanchang,59,4860,2,1,re,Road / road edge,1,h
Nanchang,60,14984,2,3,bl,Bare land / construction,1,m
Nanchang,61,2724,1,1,be,Built-up edge / urban fabric,0,m
Nanchang,62,5742,3,2,we,Water / water edge,1,m
Nanchang,63,5952,3,2,we,Water / water edge,1,m
Nanchang,64,6580,2,2,cs,Bare land / construction,0,m
Nanchang,65,8737,2,2,rs,Rural settlement / surfaces,0,m
Nanchang,66,10881,2,3,bl,Bare land / construction,1,m
Nanchang,67,14832,2,3,bl,Bare land / construction,1,m
Nanchang,68,5702,2,2,re,Road / road edge,0,m
Nanchang,69,2428,2,1,ub,Urban green space,1,h
Nanchang,70,4239,2,1,re,Road / road edge,1,h
Nanchang,71,8007,2,2,ub,Urban green space,0,m
Nanchang,72,6055,3,2,we,Water / water edge,1,m
Nanchang,73,4184,2,1,fe,Vegetation / forest edge,1,h
Nanchang,74,4643,2,1,ub,Urban green space,1,h
Nanchang,75,8454,2,2,we,Water / water edge,0,m
Nanchang,76,8178,1,2,sb,Built-up edge / urban fabric,1,h
Nanchang,77,8761,2,2,mx,Mixed / complex,0,m
Nanchang,78,120,1,1,be,Built-up edge / urban fabric,0,m
Nanchang,79,14343,2,3,we,Water / water edge,1,m
Nanchang,80,6775,1,2,be,Built-up edge / urban fabric,1,h
Nanchang,81,2960,2,1,re,Road / road edge,1,h
Nanchang,82,3557,1,1,bs,Soft boundary / shadow,0,m
Nanchang,83,4648,2,1,re,Road / road edge,1,h
Nanchang,84,4813,3,1,we,Water / water edge,1,m
Nanchang,85,104,1,1,be,Built-up edge / urban fabric,0,m
Nanchang,86,14903,2,3,we,Water / water edge,1,m
Nanchang,87,1919,2,1,fe,Vegetation / forest edge,1,h
Nanchang,88,9525,2,2,bl,Bare land / construction,0,m
Nanchang,89,5458,2,2,we,Water / water edge,0,m
Nanchang,90,7250,3,2,we,Water / water edge,1,m
Nanchang,91,14053,2,3,bl,Bare land / construction,1,m
Nanchang,92,2738,2,1,ub,Urban green space,1,h
Nanchang,93,6186,2,2,re,Road / road edge,0,m
Nanchang,94,9834,2,2,rs,Rural settlement / surfaces,0,m
Nanchang,95,2686,3,1,we,Water / water edge,1,m
Nanchang,96,393,2,1,fe,Vegetation / forest edge,1,h
Nanchang,97,4343,2,1,水体边缘,Water / water edge,1,m
Nanchang,98,8426,1,2,be,Built-up edge / urban fabric,1,h
Nanchang,99,6303,2,2,we,Water / water edge,0,m
Nanchang,100,14010,3,3,wr,Water / water edge,0,m
Nanchang,101,4930,2,1,mx,Mixed / complex,1,h
Nanchang,102,4402,2,1,fe,Vegetation / forest edge,1,h
Nanchang,103,5716,2,2,re,Road / road edge,0,m
Nanchang,104,8498,2,2,rs,Rural settlement / surfaces,0,m
Nanchang,105,10686,2,3,bl,Bare land / construction,1,m
Nanchang,106,4508,2,1,veg,Vegetation / forest edge,1,m
Nanchang,107,6333,2,2,bl,Bare land / construction,0,m
Nanchang,108,7170,2,2,veg,Vegetation / forest edge,0,m
Nanchang,109,10890,3,3,wr,Water / water edge,0,m
Nanchang,110,10319,2,3,we,Water / water edge,1,m
Nanchang,111,6513,1,2,be,Built-up edge / urban fabric,1,h
Nanchang,112,6363,2,2,fe,Vegetation / forest edge,0,m
Nanchang,113,2863,2,1,ub,Urban green space,1,h
Nanchang,114,9247,2,2,sb,Built-up edge / urban fabric,0,m
Nanchang,115,6461,1,2,urban road,Road / road edge,1,h
Nanchang,116,6847,3,2,wr,Water / water edge,1,m
Nanchang,117,6178,2,2,pf,Paddy / cropland / field,0,m
Nanchang,118,6430,1,2,be,Built-up edge / urban fabric,1,m
Nanchang,119,4063,2,1,veg,Vegetation / forest edge,1,m
Nanchang,120,1708,1,1,be,Built-up edge / urban fabric,0,m
Nanchang,121,601,2,1,rs,Rural settlement / surfaces,1,h
Nanchang,122,12774,2,3,bl,Bare land / construction,1,m
Nanchang,123,8330,2,2,ub,Urban green space,0,m
Nanchang,124,8899,3,2,we,Water / water edge,1,m
Nanchang,125,7084,2,2,re,Road / road edge,0,m
Nanchang,126,10584,3,3,tw,Water / water edge,0,m
Nanchang,127,2157,2,1,veg,Vegetation / forest edge,1,m
Nanchang,128,13035,3,3,we,Water / water edge,0,m
Nanchang,129,6127,2,2,veg,Vegetation / forest edge,0,m
Nanchang,130,1041,2,1,veg,Vegetation / forest edge,1,m
Nanchang,131,8745,2,2,mx,Mixed / complex,0,m
Nanchang,132,6398,2,2,mx,Mixed / complex,0,m
Nanchang,133,9159,2,2,ub,Urban green space,0,m
Nanchang,134,4546,2,1,bl,Bare land / construction,1,h
Nanchang,135,9462,2,2,rs,Rural settlement / surfaces,0,m
Nanchang,136,14949,2,3,we,Water / water edge,1,m
Nanchang,137,3553,2,1,veg,Vegetation / forest edge,1,m
Nanchang,138,8184,1,2,be,Built-up edge / urban fabric,1,m
Nanchang,139,7364,2,2,rs,Rural settlement / surfaces,0,m
Nanchang,140,9545,2,2,veg,Vegetation / forest edge,0,m
Nanchang,141,7616,2,2,we,Water / water edge,0,m
Nanchang,142,14104,2,3,re,Road / road edge,1,m
Nanchang,143,5322,2,2,ub,Urban green space,0,m
Nanchang,144,3185,1,1,bl,Bare land / construction,0,m
Nanchang,145,7418,2,2,bl,Bare land / construction,0,m
Nanchang,146,7599,2,2,veg,Vegetation / forest edge,0,m
Nanchang,147,8946,2,2,bl,Bare land / construction,0,m
Nanchang,148,5656,3,2,wr,Water / water edge,1,m
Nanchang,149,13160,2,3,we,Water / water edge,1,m
Nanchang,150,7619,3,2,wr,Water / water edge,1,m
Hefei,1,6209,2,2,高亮大棚旁边的绿地,Greenhouse / polytunnel,0,m
Hefei,2,6315,2,2,高亮大棚旁边的土地,Greenhouse / polytunnel,0,m
Hefei,3,899,2,1,高亮大棚旁边的土地,Greenhouse / polytunnel,1,h
Hefei,4,9364,1,2,city road,Road / road edge,1,h
Hefei,5,6192,2,2,大棚,Greenhouse / polytunnel,0,h
Hefei,6,6699,1,2,城市路面,Road / road edge,1,h
Hefei,7,5203,2,2,城市绿地,Vegetation / forest edge,0,h
