CheckID,Original_ID_x,lat,lon,My_Class,My_Confidence,My_Scene,Annotator,City,PointID,Original_ID_y,Ref_Class,Ref_Confidence,Ref_Scene
CH16,5654,28.325273296978896,112.58787576808888,2.0,l,废墟,B,Changsha,46,5654,2,l,工地
CH06,5561,28.080931539698387,112.48403052124468,2.0,h,veg,B,Changsha,26,5561,2,h,veg
CH10,8708,28.413038700237376,112.7767016408108,3.0,h,水体,B,Changsha,109,8708,3,h,水体
CH17,14590,28.09952666607966,112.4367791373,3.0,h,水体边缘,B,Changsha,133,14590,3,m,水体
CH05,7719,28.29805434387008,113.74975675656908,1.0,h,built,B,Changsha,50,7719,1,h,农村建筑
CH03,1212,28.271284548403315,113.12264285672524,3.0,h,水体,B,Changsha,136,1212,3,h,水体
CH07,7204,28.29625771330184,112.8456922546312,1.0,h,road,B,Changsha,16,7204,1,h,城市路面
CH15,9893,28.23427395869759,112.32736433569424,2.0,m,废墟,B,Changsha,56,9893,2,l,建筑废墟
CH12,4826,28.10626403071056,113.33239947556716,1.0,m,road,B,Changsha,131,4826,1,l,路面
CH18,1013,28.297066197057543,113.11231223095788,2.0,m,veg,B,Changsha,61,1013,2,m,veg
CH04,8589,28.12881174434196,113.21615747780208,,,,B,Changsha,144,8589,2,h,veg
CH13,6642,28.06637883209565,112.52607167654148,2.0,l,土路,C,Changsha,142,6642,2,l,不知
CH15,9893,28.23427395869759,112.32736433569424,2.0,m,废墟,C,Changsha,56,9893,2,l,建筑废墟
CH09,9697,28.303983224745267,113.23088984846164,1.0,h,built,C,Changsha,23,9697,1,h,建筑
CH08,9661,28.203192249867055,111.97944682615474,2.0,h,农场,C,Changsha,60,9661,2,h,veg + 土路
CH18,1013,28.297066197057543,113.11231223095788,2.0,h,veg,C,Changsha,61,1013,2,m,veg
CH19,8812,28.01903761662255,113.05787432474024,2.0,h,veg,C,Changsha,135,8812,2,m,veg
CH20,10234,28.06682798973771,113.16944508302788,2.0,l,水体边缘,C,Changsha,48,10234,3,m,水体
CH06,5561,28.080931539698387,112.48403052124468,2.0,h,veg,C,Changsha,26,5561,2,h,veg
CH03,1212,28.271284548403315,113.12264285672524,3.0,h,water,C,Changsha,136,1212,3,h,水体
CH01,6705,28.10222161193202,112.90785567229229,2.0,h,veg,C,Changsha,52,6705,2,h,veg + 裸地
CH04,8589,28.12881174434196,113.21615747780208,2.0,h,veg,C,Changsha,144,8589,2,h,veg
CH10,8708,28.413038700237376,112.7767016408108,3.0,h,water,C,Changsha,109,8708,3,h,水体
CH11,5268,28.4973905054162,112.79889002832856,1.0,h,road,C,Changsha,33,5268,1,h,城市路面
CH05,7719,28.29805434387008,113.74975675656908,1.0,h,built,C,Changsha,50,7719,1,h,农村建筑
CH02,1537,28.24029267110119,113.50523533623176,2.0,h,rural,C,Changsha,45,1537,2,h,农村土路
CH12,4826,28.10626403071056,113.33239947556716,1.0,h,road,C,Changsha,131,4826,1,l,路面
CH16,5654,28.325273296978896,112.58787576808888,2.0,l,废墟,C,Changsha,46,5654,2,l,工地
CH17,14590,28.09952666607966,112.4367791373,3.0,h,水体,C,Changsha,133,14590,3,m,水体
CH14,5889,28.411062406612313,112.63656445648816,2.0,l,废墟,C,Changsha,102,5889,2,l,不明
CH07,7204,28.29625771330184,112.8456922546312,1.0,h,built,C,Changsha,16,7204,1,h,城市路面
HA14,8346,30.069595684929062,119.96898801312292,2.0,h,built,A,Hangzhou,25,8346,2,m,建筑
HA11,6443,29.658885723300372,119.33918012123314,1.0,h,road,A,Hangzhou,62,6443,1,m,路面
HA18,10287,29.440327344266777,118.74090253289232,3.0,m,水体边缘,A,Hangzhou,97,10287,3,l,水体
HA04,14831,30.422725274654596,120.17523927324896,1.0,h,city,A,Hangzhou,13,14831,1,h,小区
HA09,7379,29.869542575267264,119.8995464324176,3.0,h,water,A,Hangzhou,110,7379,3,h,水体
HA08,12575,29.597082582699613,119.10975045383124,3.0,h,water,A,Hangzhou,60,12575,3,h,水体
HA02,8177,30.02917393387957,120.26228984401436,2.0,h,田地,A,Hangzhou,142,8177,2,h,田地
HA13,14054,30.059714316994626,120.07310356361982,3.0,l,水体边缘,A,Hangzhou,79,14054,3,m,水体边缘
HA05,6929,29.776565859201863,119.70784967812992,2.0,h,veg,A,Hangzhou,6,6929,2,h,veg
HA06,10614,29.485694238384532,118.84331024768576,2.0,h,veg,A,Hangzhou,126,10614,2,h,veg
HA20,9405,30.300733188034428,120.16437244398172,2.0,m,土,A,Hangzhou,61,9405,2,l,土路
HA16,9985,30.515608349597873,120.326335912445,2.0,l,water,A,Hangzhou,109,9985,2,m,水田
HA01,6251,29.60984007081352,119.1327460379639,3.0,h,water,A,Hangzhou,53,6251,3,h,水体
HA19,9519,30.327411989637184,120.3256179971754,2.0,m,废墟,A,Hangzhou,131,9519,2,l,工地
HA10,9787,30.402333805537193,120.0961883297735,2.0,h,田地,A,Hangzhou,32,9787,2,h,田地
HA03,9932,30.466112327904625,120.2604928262898,2.0,h,veg,A,Hangzhou,137,9932,2,h,veg
HA12,7148,29.823101037795624,119.75464794368584,2.0,h,veg,A,Hangzhou,47,7148,2,m,veg
HA15,4262,30.374843447542695,120.19545237832423,2.0,h,veg,A,Hangzhou,75,4262,2,m,veg
HA07,8584,30.121428275574313,120.27630033952428,2.0,h,veg,A,Hangzhou,50,8584,2,h,veg
HA17,8687,30.143077211188793,120.28591416139552,2.0,l,土,A,Hangzhou,135,8687,2,l,工地
HA08,12575,29.597082582699613,119.10975045383124,3.0,h,water,B,Hangzhou,60,12575,3,h,水体
HA20,9405,30.300733188034428,120.16437244398172,2.0,m,waste,B,Hangzhou,61,9405,2,l,土路
HA01,6251,29.60984007081352,119.1327460379639,3.0,h,water,B,Hangzhou,53,6251,3,h,水体
HA13,14054,30.059714316994626,120.07310356361982,2.0,m, water edge,B,Hangzhou,79,14054,3,m,水体边缘
HA09,7379,29.869542575267264,119.8995464324176,3.0,h,water,B,Hangzhou,110,7379,3,h,水体
HA14,8346,30.069595684929062,119.96898801312292,2.0,m,waste,B,Hangzhou,25,8346,2,m,建筑
HA02,8177,30.02917393387957,120.26228984401436,2.0,h,field,B,Hangzhou,142,8177,2,h,田地
HA11,6443,29.658885723300372,119.33918012123314,1.0,h,road,B,Hangzhou,62,6443,1,m,路面
HA19,9519,30.327411989637184,120.3256179971754,2.0,l,waste,B,Hangzhou,131,9519,2,l,工地
HA16,9985,30.515608349597873,120.326335912445,2.0,m,field,B,Hangzhou,109,9985,2,m,水田
HA06,10614,29.485694238384532,118.84331024768576,2.0,h,veg,B,Hangzhou,126,10614,2,h,veg
HA10,9787,30.402333805537193,120.0961883297735,2.0,h,field,B,Hangzhou,32,9787,2,h,田地
HA17,8687,30.143077211188793,120.28591416139552,2.0,l,waste,B,Hangzhou,135,8687,2,l,工地
HA05,6929,29.776565859201863,119.70784967812992,2.0,h,veg,B,Hangzhou,6,6929,2,h,veg
HA03,9932,30.466112327904625,120.2604928262898,2.0,h,veg,B,Hangzhou,137,9932,2,h,veg
HA07,8584,30.121428275574313,120.27630033952428,2.0,h,veg,B,Hangzhou,50,8584,2,h,veg
HA15,4262,30.374843447542695,120.19545237832423,2.0,h,veg,B,Hangzhou,75,4262,2,m,veg
HA12,7148,29.823101037795624,119.75464794368584,2.0,h,veg,B,Hangzhou,47,7148,2,m,veg
HA18,10287,29.440327344266777,118.74090253289232,,,,B,Hangzhou,97,10287,3,l,水体
HA04,14831,30.422725274654596,120.17523927324896,,,,B,Hangzhou,13,14831,1,h,小区
HA13,14054,30.059714316994626,120.07310356361982,3.0,h,water,C,Hangzhou,79,14054,3,m,水体边缘
HA15,4262,30.374843447542695,120.19545237832423,2.0,h,veg,C,Hangzhou,75,4262,2,m,veg
HA09,7379,29.869542575267264,119.8995464324176,2.0,m,veg,C,Hangzhou,110,7379,3,h,水体
HA08,12575,29.597082582699613,119.10975045383124,3.0,h,water,C,Hangzhou,60,12575,3,h,水体
HA18,10287,29.440327344266777,118.74090253289232,3.0,l,water,C,Hangzhou,97,10287,3,l,水体
HA19,9519,30.327411989637184,120.3256179971754,2.0,l,土地,C,Hangzhou,131,9519,2,l,工地
HA20,9405,30.300733188034428,120.16437244398172,2.0,m,土地,C,Hangzhou,61,9405,2,l,土路
HA06,10614,29.485694238384532,118.84331024768576,2.0,h,veg,C,Hangzhou,126,10614,2,h,veg
HA03,9932,30.466112327904625,120.2604928262898,2.0,h,veg,C,Hangzhou,137,9932,2,h,veg
HA01,6251,29.60984007081352,119.1327460379639,3.0,h,water,C,Hangzhou,53,6251,3,h,水体
HA04,14831,30.422725274654596,120.17523927324896,1.0,h,city,C,Hangzhou,13,14831,1,h,小区
HA10,9787,30.402333805537193,120.0961883297735,2.0,h,field,C,Hangzhou,32,9787,2,h,田地
HA11,6443,29.658885723300372,119.33918012123314,1.0,h,road,C,Hangzhou,62,6443,1,m,路面
HA05,6929,29.776565859201863,119.70784967812992,2.0,h,veg,C,Hangzhou,6,6929,2,h,veg
HA02,8177,30.02917393387957,120.26228984401436,2.0,h,field,C,Hangzhou,142,8177,2,h,田地
HA12,7148,29.823101037795624,119.75464794368584,2.0,h,veg,C,Hangzhou,47,7148,2,m,veg
HA16,9985,30.515608349597873,120.326335912445,2.0,h,field,C,Hangzhou,109,9985,2,m,水田
HA17,8687,30.143077211188793,120.28591416139552,2.0,l,wasteland,C,Hangzhou,135,8687,2,l,工地
HA14,8346,30.069595684929062,119.96898801312292,2.0,m,土,C,Hangzhou,25,8346,2,m,建筑
HA07,8584,30.121428275574313,120.27630033952428,2.0,h,veg,C,Hangzhou,50,8584,2,h,veg
HE14,8820,32.16602029423191,117.13308161114844,2.0,h,water edge,A,Hefei,36,8820,2,m,水体边缘
HE11,6428,32.614010126422315,117.20018576287217,1.0,h,road,A,Hefei,59,6428,1,m,公路 veg
HE18,3557,31.914042857036385,117.57801717137284,1.0,h,building,A,Hefei,144,3557,1,m,房子院子
HE04,8713,31.821606214300488,116.99159695389962,1.0,h,building,A,Hefei,18,8713,1,h,特殊建筑
HE09,6180,32.25369586596198,117.75013437981012,2.0,h,field,A,Hefei,146,6180,2,h,稻田
HE08,487,31.925541292673117,117.43437655744212,2.0,h,veg,A,Hefei,80,487,2,h,veg
HE02,7358,32.56595025872192,116.99941229687144,1.0,h,road,A,Hefei,134,7358,1,h,urban road
HE13,9246,31.88152384375126,117.66443510170514,2.0,m,rural,A,Hefei,123,9246,2,m,农村地面
HE05,4808,31.943327935298683,117.39260489673056,2.0,h,veg,A,Hefei,121,4808,2,h,veg
HE06,5379,31.697369210506757,116.80304057576292,1.0,h,building,A,Hefei,140,5379,1,h,水坝建筑
HE20,3019,31.80193310957827,117.26926620822096,2.0,m,veg,A,Hefei,74,3019,2,l,veg
HE16,8282,32.568465541517455,116.99195628001326,2.0,h,city,A,Hefei,38,8282,2,m,城市建筑阴影
HE01,3319,32.03360862135269,117.47956181623334,2.0,h,veg,A,Hefei,111,3319,2,h,veg
HE19,13362,31.713808380206142,117.3545163286839,3.0,m,water,A,Hefei,89,13362,3,m,水体
HE10,5922,32.076637923462016,117.46330230959076,2.0,m,water edge,A,Hefei,110,5922,2,h,水体边缘veg
HE03,5062,31.969738404651796,117.14952078084782,1.0,h,city,A,Hefei,126,5062,1,h,小区
HE12,7059,31.9156598245478,117.58277824237868,2.0,h,veg,A,Hefei,118,7059,2,m,veg
HE15,7218,32.06603780310941,117.08636921637422,2.0,h,working,A,Hefei,150,7218,2,m,工地
HE07,4182,31.57726445701998,116.96716277817156,2.0,h,veg,A,Hefei,23,4182,2,h,城市绿植
HE17,824,32.58140128160878,116.88119400548132,1.0,m,city,A,Hefei,129,824,1,m,小区veg
HE08,487,31.925541292673117,117.43437655744212,2.0,h,veg,B,Hefei,80,487,2,h,veg
HE20,3019,31.80193310957827,117.26926620822096,2.0,m,road,B,Hefei,74,3019,2,l,veg
HE01,3319,32.03360862135269,117.47956181623334,2.0,h,veg,B,Hefei,111,3319,2,h,veg
HE13,9246,31.88152384375126,117.66443510170514,2.0,m,rural,B,Hefei,123,9246,2,m,农村地面
HE09,6180,32.25369586596198,117.75013437981012,2.0,h,field,B,Hefei,146,6180,2,h,稻田
HE14,8820,32.16602029423191,117.13308161114844,3.0,l,water edge,B,Hefei,36,8820,2,m,水体边缘
HE02,7358,32.56595025872192,116.99941229687144,1.0,h,road,B,Hefei,134,7358,1,h,urban road
HE11,6428,32.614010126422315,117.20018576287217,1.0,m,road,B,Hefei,59,6428,1,m,公路 veg
HE19,13362,31.713808380206142,117.3545163286839,3.0,m,water,B,Hefei,89,13362,3,m,水体
HE16,8282,32.568465541517455,116.99195628001326,2.0,m,city,B,Hefei,38,8282,2,m,城市建筑阴影
HE06,5379,31.697369210506757,116.80304057576292,1.0,h,building,B,Hefei,140,5379,1,h,水坝建筑
HE10,5922,32.076637923462016,117.46330230959076,2.0,h,wetland,B,Hefei,110,5922,2,h,水体边缘veg
HE17,824,32.58140128160878,116.88119400548132,1.0,h,city,B,Hefei,129,824,1,m,小区veg
HE05,4808,31.943327935298683,117.39260489673056,2.0,h,veg,B,Hefei,121,4808,2,h,veg
HE03,5062,31.969738404651796,117.14952078084782,2.0,h,veg,B,Hefei,126,5062,1,h,小区
HE07,4182,31.57726445701998,116.96716277817156,2.0,h,veg,B,Hefei,23,4182,2,h,城市绿植
HE15,7218,32.06603780310941,117.08636921637422,2.0,m,working,B,Hefei,150,7218,2,m,工地
HE12,7059,31.9156598245478,117.58277824237868,2.0,h,veg,B,Hefei,118,7059,2,m,veg
HE18,3557,31.914042857036385,117.57801717137284,1.0,h,built,B,Hefei,144,3557,1,m,房子院子
HE04,8713,31.821606214300488,116.99159695389962,1.0,h,built,B,Hefei,18,8713,1,h,特殊建筑
HE13,9246,31.88152384375126,117.66443510170514,2.0,m,rural,C,Hefei,123,9246,2,m,农村地面
HE15,7218,32.06603780310941,117.08636921637422,2.0,m,working,C,Hefei,150,7218,2,m,工地
HE09,6180,32.25369586596198,117.75013437981012,2.0,h,field,C,Hefei,146,6180,2,h,稻田
HE08,487,31.925541292673117,117.43437655744212,2.0,h,veg,C,Hefei,80,487,2,h,veg
HE18,3557,31.914042857036385,117.57801717137284,1.0,h,builtup,C,Hefei,144,3557,1,m,房子院子
HE19,13362,31.713808380206142,117.3545163286839,3.0,h,water,C,Hefei,89,13362,3,m,水体
HE20,3019,31.80193310957827,117.26926620822096,2.0,m,veg,C,Hefei,74,3019,2,l,veg
HE06,5379,31.697369210506757,116.80304057576292,1.0,h,builtup,C,Hefei,140,5379,1,h,水坝建筑
HE03,5062,31.969738404651796,117.14952078084782,1.0,h,city,C,Hefei,126,5062,1,h,小区
HE01,3319,32.03360862135269,117.47956181623334,2.0,h,veg,C,Hefei,111,3319,2,h,veg
HE04,8713,31.821606214300488,116.99159695389962,1.0,h,building,C,Hefei,18,8713,1,h,特殊建筑
HE10,5922,32.076637923462016,117.46330230959076,2.0,h,water edge,C,Hefei,110,5922,2,h,水体边缘veg
HE11,6428,32.614010126422315,117.20018576287217,1.0,h,road,C,Hefei,59,6428,1,m,公路 veg
HE05,4808,31.943327935298683,117.39260489673056,2.0,h,veg,C,Hefei,121,4808,2,h,veg
HE02,7358,32.56595025872192,116.99941229687144,1.0,h,raod,C,Hefei,134,7358,1,h,urban road
HE12,7059,31.9156598245478,117.58277824237868,2.0,m,veg,C,Hefei,118,7059,2,m,veg
HE16,8282,32.568465541517455,116.99195628001326,2.0,l,shadow,C,Hefei,38,8282,2,m,城市建筑阴影
HE17,824,32.58140128160878,116.88119400548132,1.0,m,veg,C,Hefei,129,824,1,m,小区veg
HE14,8820,32.16602029423191,117.13308161114844,2.0,m,wate edge,C,Hefei,36,8820,2,m,水体边缘
HE07,4182,31.57726445701998,116.96716277817156,2.0,h,veg,C,Hefei,23,4182,2,h,城市绿植
NA14,7619,28.658727930444066,116.21653052676128,2.0,m,veg,A,Nanchang,150,7619,2,m,
NA11,2157,28.851057232774053,115.6116948459636,1.0,h,city,A,Nanchang,127,2157,1,m,
NA18,8252,28.811711023329615,116.15068401643532,1.0,h,building,A,Nanchang,33,8252,1,h,be
NA04,10881,28.93693617393588,115.68796181358536,2.0,m,waste,A,Nanchang,66,10881,2,m,bl
NA09,120,28.627915716198764,115.93293239156476,1.0,h,building,A,Nanchang,78,120,1,m,be
NA08,6055,28.45741547527288,116.32226223570215,2.0,l,water edge,A,Nanchang,72,6055,3,m,we
NA02,4343,28.829677329012007,115.86223497870456,2.0,m,water edge,A,Nanchang,97,4343,2,m,水体边缘
NA13,8899,28.46612913352884,115.62400176535606,3.0,m,water edge,A,Nanchang,124,8899,3,m,we
NA05,12250,28.78314459729462,116.1234650633265,2.0,m,waste road,A,Nanchang,17,12250,2,m,bl
NA06,9545,28.862016679240313,115.9603310077304,2.0,m,rural road,A,Nanchang,140,9545,2,m,
NA20,5432,28.356983826508316,116.11996163371845,1.0,h,city,A,Nanchang,54,5432,1,h,sb
NA16,7813,28.798056631011,115.90247950343311,1.0,h,building,A,Nanchang,4,7813,1,h,be
NA01,6186,28.84979959137629,115.99976704870323,2.0,m,veg,A,Nanchang,93,6186,2,m,re
NA19,4860,28.726730397451913,115.72164863673984,2.0,h,road,A,Nanchang,59,4860,2,h,re
NA10,14984,28.86516078273473,115.99285002101551,2.0,m,waste road,A,Nanchang,60,14984,2,m,bl
NA03,5656,28.65845843585883,115.83950760201633,2.0,h,waste,A,Nanchang,148,5656,2,m,
NA12,5322,28.517153441666828,115.931674750167,2.0,h,city,A,Nanchang,143,5322,2,m,ub
NA15,3625,28.75053575248108,115.48790699981194,2.0,h,field,A,Nanchang,7,3625,2,h,ct
NA07,8946,28.623244476721343,115.74132174146206,2.0,m,field,A,Nanchang,147,8946,2,m,
NA17,4916,28.890852599860548,116.23099340283562,2.0,h,veg,A,Nanchang,41,4916,2,h,re
NA08,6055,28.45741547527288,116.32226223570215,3.0,h,water,B,Nanchang,72,6055,3,m,we
NA20,5432,28.356983826508316,116.11996163371845,1.0,h,city,B,Nanchang,54,5432,1,h,sb
NA01,6186,28.84979959137629,115.99976704870323,2.0,m,veg,B,Nanchang,93,6186,2,m,re
NA13,8899,28.46612913352884,115.62400176535606,3.0,h,water,B,Nanchang,124,8899,3,m,we
NA09,120,28.627915716198764,115.93293239156476,1.0,h,building,B,Nanchang,78,120,1,m,be
NA14,7619,28.658727930444066,116.21653052676128,2.0,m,veg,B,Nanchang,150,7619,2,m,
NA02,4343,28.829677329012007,115.86223497870456,2.0,m,water edge,B,Nanchang,97,4343,2,m,水体边缘
NA11,2157,28.851057232774053,115.6116948459636,1.0,h,city,B,Nanchang,127,2157,1,m,
NA19,4860,28.726730397451913,115.72164863673984,2.0,h,road veg,B,Nanchang,59,4860,2,h,re
NA16,7813,28.798056631011,115.90247950343311,1.0,h,building,B,Nanchang,4,7813,1,h,be
NA06,9545,28.862016679240313,115.9603310077304,2.0,m,veg,B,Nanchang,140,9545,2,m,
NA10,14984,28.86516078273473,115.99285002101551,2.0,m,land,B,Nanchang,60,14984,2,m,bl
NA17,4916,28.890852599860548,116.23099340283562,2.0,h,veg,B,Nanchang,41,4916,2,h,re
NA05,12250,28.78314459729462,116.1234650633265,2.0,h,veg,B,Nanchang,17,12250,2,m,bl
NA03,5656,28.65845843585883,115.83950760201633,2.0,m,veg,B,Nanchang,148,5656,2,m,
NA07,8946,28.623244476721343,115.74132174146206,2.0,m,147,B,Nanchang,147,8946,2,m,
NA15,3625,28.75053575248108,115.48790699981194,2.0,h,field,B,Nanchang,7,3625,2,h,ct
NA12,5322,28.517153441666828,115.931674750167,2.0,h,rural,B,Nanchang,143,5322,2,m,ub
NA18,8252,28.811711023329615,116.15068401643532,1.0,h,city,B,Nanchang,33,8252,1,h,be
NA04,10881,28.93693617393588,115.68796181358536,2.0,m,bl,B,Nanchang,66,10881,2,m,bl
NA13,8899,28.46612913352884,115.62400176535606,2.0,l,water edge,C,Nanchang,124,8899,3,m,we
NA15,3625,28.75053575248108,115.48790699981194,2.0,h,field,C,Nanchang,7,3625,2,h,ct
NA09,120,28.627915716198764,115.93293239156476,1.0,m,city,C,Nanchang,78,120,1,m,be
NA08,6055,28.45741547527288,116.32226223570215,3.0,m,water edge,C,Nanchang,72,6055,3,m,we
NA18,8252,28.811711023329615,116.15068401643532,1.0,h,building,C,Nanchang,33,8252,1,h,be
NA19,4860,28.726730397451913,115.72164863673984,2.0,h,road,C,Nanchang,59,4860,2,h,re
NA20,5432,28.356983826508316,116.11996163371845,1.0,h,city,C,Nanchang,54,5432,1,h,sb
NA06,9545,28.862016679240313,115.9603310077304,2.0,m,bare land,C,Nanchang,140,9545,2,m,
NA03,5656,28.65845843585883,115.83950760201633,2.0,m,veg,C,Nanchang,148,5656,2,m,
NA01,6186,28.84979959137629,115.99976704870323,2.0,m,veg,C,Nanchang,93,6186,2,m,re
NA04,10881,28.93693617393588,115.68796181358536,2.0,m,bare land,C,Nanchang,66,10881,2,m,bl
NA10,14984,28.86516078273473,115.99285002101551,2.0,m,bare land,C,Nanchang,60,14984,2,m,bl
NA11,2157,28.851057232774053,115.6116948459636,1.0,h,city,C,Nanchang,127,2157,1,m,
NA05,12250,28.78314459729462,116.1234650633265,2.0,m,bare land,C,Nanchang,17,12250,2,m,bl
NA02,4343,28.829677329012007,115.86223497870456,2.0,m,water edge,C,Nanchang,97,4343,2,m,水体边缘
NA12,5322,28.517153441666828,115.931674750167,2.0,m,veg,C,Nanchang,143,5322,2,m,ub
NA16,7813,28.798056631011,115.90247950343311,1.0,h,city,C,Nanchang,4,7813,1,h,be
NA17,4916,28.890852599860548,116.23099340283562,2.0,h,veg,C,Nanchang,41,4916,2,h,re
NA14,7619,28.658727930444066,116.21653052676128,2.0,m,veg,C,Nanchang,150,7619,2,m,
NA07,8946,28.623244476721343,115.74132174146206,2.0,m,veg,C,Nanchang,147,8946,2,m,
NA14,14192,31.294295142522326,118.84140778695853,2.0,m,water edge,A,Nanjing,59,14192,2,m,水体的边缘
NA11,5577,31.956443338446828,118.91219503134715,3.0,m,water,A,Nanjing,27,5577,3,m,水体和 城市路面边缘
NA18,5140,32.131704650378545,118.57703359884216,2.0,m,veg,A,Nanjing,56,5140,2,m,绿色房子旁边的树木
NA04,8323,32.099814457792306,118.91938155362013,1.0,h,building,A,Nanjing,12,8323,1,h,特殊建筑
NA09,8083,31.302829137721464,119.07380195096026,2.0,h,veg,A,Nanjing,34,8083,2,h,建筑旁边的树木
NA08,9678,31.74533924667874,118.65869045816862,2.0,h,rural road,A,Nanjing,26,9678,2,h,农村土路
NA02,9562,31.357536538524343,119.16345381631538,2.0,h,field,A,Nanjing,39,9562,2,h,road旁边水田
NA13,8328,31.36328575634271,118.93824617458662,2.0,h,veg,A,Nanjing,28,8328,2,m,城市road旁边的树木
NA05,9175,32.243544903251426,118.63021386366204,2.0,h,rural road,A,Nanjing,90,9175,2,h,农村土路
NA06,2929,31.796453386345146,118.63578341842356,2.0,h,veg,A,Nanjing,100,2929,2,h,树木
NA20,6389,31.33624646629071,118.84446205892452,1.0,m,city,A,Nanjing,120,6389,1,l,小区路面
NA16,868,32.05705465026821,118.90006777501154,1.0,m,factory,A,Nanjing,97,868,1,m,工厂路面
NA01,4179,31.80193310957827,118.73783203469957,2.0,h,veg,A,Nanjing,118,4179,2,h,树木
NA19,888,32.28145380824127,118.78274779890552,2.0,h,veg,A,Nanjing,142,888,2,l,城市绿植
NA10,9240,32.06226487891611,118.5923049586722,1.0,h,building,A,Nanjing,19,9240,1,h,建筑
NA03,6972,31.81100609394788,118.55295874922776,1.0,h,building,A,Nanjing,1,6972,1,h,高亮反射建筑边缘
NA12,11303,32.01672029401125,118.64171229929876,2.0,m,water edge,A,Nanjing,148,11303,2,m,水体边缘
NA15,2139,32.049239307296375,118.76145772667188,2.0,m,road,A,Nanjing,60,2139,2,m,树木中间的城市路面
NA07,7097,31.892483290217516,118.79855814790604,1.0,h,building,A,Nanjing,65,7097,1,h,白色屋顶
NA17,5255,31.97396048648716,118.76801542824596,1.0,m,road,A,Nanjing,130,5255,1,m,road 和树木交界
NA08,9678,31.74533924667874,118.65869045816862,2.0,h,rural road,B,Nanjing,26,9678,2,h,农村土路
NA20,6389,31.33624646629071,118.84446205892452,1.0,l,city,B,Nanjing,120,6389,1,l,小区路面
NA01,4179,31.80193310957827,118.73783203469957,2.0,h,veg,B,Nanjing,118,4179,2,h,树木
NA13,8328,31.36328575634271,118.93824617458662,2.0,m,veg,B,Nanjing,28,8328,2,m,城市road旁边的树木
