PointID,Original_ID,lon,lat,Class,margin,BoundaryScore,RF_Pred,prob_1,prob_2,prob_3,Method,Rule,Human_Class,Scene,Confidence,Notes
60,12060,119.17972712666298,29.55423508067704,3,0.3133333333333333,1271.6995463872229,3,0.3366666666666666,0.0133333333333333,0.65,BAMS150,two_stage,3,水体,m,WC_Class=3
61,7713,120.18781839732075,29.94131626582353,2,0.32,1265.730699410127,2,0.34,0.66,0.0,BAMS150,two_stage,1,农村路面,m,WC_Class=2
63,9484,119.63382860064272,30.317802626867017,2,0.2733333333333334,1250.8842265556432,2,0.3633333333333333,0.6366666666666667,0.0,BAMS150,two_stage,2,veg,m,WC_Class=2
68,6591,119.84519890877816,29.69805446695385,2,0.2633333333333333,1239.1234517422704,2,0.3666666666666666,0.63,0.0033333333333333,BAMS150,two_stage,1,road,h,WC_Class=2
81,6929,119.70784967812992,29.776565859201863,2,0.1966666666666666,1172.359467490376,2,0.4,0.5966666666666667,0.0033333333333333,BAMS150,two_stage,2,veg,h,WC_Class=2
86,14733,120.16913476390684,30.308099622974716,3,0.2066666666666667,1155.1747398477662,3,0.3966666666666666,0.0,0.6033333333333334,BAMS150,two_stage,3,水体,h,WC_Class=3
89,719,119.55082243453283,29.8532846928264,1,0.2466666666666666,1144.7168173515352,1,0.6233333333333333,0.3766666666666666,0.0,BAMS150,two_stage,2,土地,h,WC_Class=1
91,6251,119.1327460379639,29.60984007081352,2,0.2966666666666667,1141.0190202475,2,0.3333333333333333,0.63,0.0366666666666666,BAMS150,two_stage,3,水体,h,WC_Class=2
99,4,119.07372537642044,29.249883597375153,1,0.3466666666666667,1120.384845555138,1,0.6733333333333333,0.3266666666666666,0.0,BAMS150,two_stage,2,veg,h,WC_Class=1
104,7863,120.0057310058033,29.970514459521485,2,0.2533333333333333,1107.9829022709014,2,0.3733333333333333,0.6266666666666667,0.0,BAMS150,two_stage,1,建筑,h,WC_Class=2
106,13655,119.59699642594128,29.865859357797117,3,0.3,1106.6961752205318,3,0.35,0.0,0.65,BAMS150,two_stage,2,水体边缘,l,WC_Class=3
109,9189,119.86783776482656,30.24809350009849,2,0.32,1103.532665007198,2,0.34,0.66,0.0,BAMS150,two_stage,2,veg,h,WC_Class=2
115,9787,120.0961883297735,30.402333805537193,2,0.2533333333333333,1086.6635252977762,2,0.3733333333333333,0.6266666666666667,0.0,BAMS150,two_stage,2,田地,h,WC_Class=2
118,6000,119.19158387636408,29.544621258805822,2,0.3233333333333333,1078.9673940187151,2,0.01,0.6566666666666666,0.3333333333333333,BAMS150,two_stage,2,veg,m,WC_Class=2
119,498,119.12529042100252,29.700119030741583,1,0.36,1078.4995053028204,1,0.68,0.32,0.0,BAMS150,two_stage,2,veg,h,WC_Class=1
121,9058,120.28537461016803,30.219256493585867,2,0.24,1071.5674466733144,2,0.38,0.62,0.0,BAMS150,two_stage,1,road,h,WC_Class=2
123,9405,120.16437244398172,30.300733188034428,2,0.3,1061.2576878044958,2,0.35,0.65,0.0,BAMS150,two_stage,2,土路,l,WC_Class=2
128,7896,119.70955305473238,29.97797007648285,2,0.3133333333333333,1057.196624063985,2,0.3333333333333333,0.6466666666666666,0.02,BAMS150,two_stage,2,废土,l,WC_Class=2
129,8998,120.22985880205265,30.20452362370528,2,0.2499999999999999,1053.6007309727356,2,0.3733333333333333,0.6233333333333333,0.0033333333333333,BAMS150,two_stage,2,veg,m,WC_Class=2
131,9378,120.4617142204276,30.29381712230053,2,0.3066666666666666,1049.5433548429878,2,0.3466666666666667,0.6533333333333333,0.0,BAMS150,two_stage,1,car park,h,WC_Class=2
134,13813,119.86433291139852,29.95236591823397,3,0.3233333333333333,1046.7255357147578,3,0.3266666666666666,0.0233333333333333,0.65,BAMS150,two_stage,3,水体,h,WC_Class=3
138,8368,119.4365579700383,30.07579383539335,2,0.3066666666666666,1038.6935784199998,2,0.34,0.6466666666666666,0.0133333333333333,BAMS150,two_stage,2,veg,h,WC_Class=2
144,7400,119.8138469692714,29.871968326240335,2,0.3266666666666666,1026.7252154184955,2,0.3366666666666666,0.6633333333333333,0.0,BAMS150,two_stage,1,路面,h,WC_Class=2
